No, waktu, accx, accY, accZ
1,  09:16:06,-7144,1261,-3179
2,  09:16:06,-7091,1235,-3149
3,  09:16:06,-7176,1249,-2998
4,  09:16:06,-7178,1275,-3080
5,  09:16:06,-7094,1431,-3040
6,  09:16:06,-7064,1534,-3166
7,  09:16:06,-7088,1468,-3241
8,  09:16:06,-7118,1392,-3148
9,  09:16:06,-7139,1357,-3090
10,  09:16:06,-7120,1279,-3060
11,  09:16:06,-7146,1255,-3095
12,  09:16:06,-7183,1349,-3179
13,  09:16:06,-7114,1264,-3146
14,  09:16:06,-7107,1294,-3142
15,  09:16:06,-7069,1301,-3183
16,  09:16:06,-7094,1311,-3126
17,  09:16:06,-7120,1356,-3144
18,  09:16:06,-7083,1360,-3174
19,  09:16:06,-7082,1308,-3171
20,  09:16:06,-7088,1296,-3214
21,  09:16:06,-7098,1314,-3167
22,  09:16:06,-7045,1334,-3214
23,  09:16:06,-7089,1277,-3160
24,  09:16:06,-7135,1278,-3271
25,  09:16:07,-7098,1317,-3189
26,  09:16:07,-7077,1297,-3219
27,  09:16:07,-7088,1314,-3216
28,  09:16:07,-7138,1300,-3111
29,  09:16:07,-7092,1260,-3188
30,  09:16:07,-7152,1315,-3238
31,  09:16:07,-7080,1365,-3220
32,  09:16:07,-7064,1377,-3233
33,  09:16:07,-7134,1368,-3153
34,  09:16:07,-7106,1276,-3176
35,  09:16:07,-7077,1256,-3218
36,  09:16:07,-7087,1276,-3186
37,  09:16:07,-7101,1306,-3166
38,  09:16:07,-7117,1329,-3184
39,  09:16:07,-7089,1309,-3184
40,  09:16:07,-7125,1303,-3193
41,  09:16:07,-7111,1306,-3168
42,  09:16:07,-7108,1351,-3182
43,  09:16:07,-7110,1347,-3181
44,  09:16:07,-7097,1309,-3178
45,  09:16:07,-7066,1319,-3224
46,  09:16:07,-7066,1374,-3224
47,  09:16:07,-7107,1323,-3185
48,  09:16:07,-7045,1335,-3196
49,  09:16:07,-7137,1365,-3196
50,  09:16:07,-7066,1314,-3154
51,  09:16:07,-7047,1274,-3234
52,  09:16:07,-7111,1309,-3266
53,  09:16:07,-7080,1358,-3189
54,  09:16:07,-7041,1337,-3180
55,  09:16:07,-7101,1314,-3168
56,  09:16:07,-7165,1353,-3077
57,  09:16:08,-7060,1331,-3218
58,  09:16:08,-7071,1276,-3236
59,  09:16:08,-7086,1332,-3253
60,  09:16:08,-7079,1312,-3229
61,  09:16:08,-7083,1307,-3216
62,  09:16:08,-7096,1373,-3181
63,  09:16:08,-7098,1385,-3123
64,  09:16:08,-7077,1370,-3188
65,  09:16:08,-7103,1253,-3226
66,  09:16:08,-7068,1237,-3205
67,  09:16:08,-7194,1244,-3204
68,  09:16:08,-7088,1309,-3174
69,  09:16:08,-7017,1288,-3248
70,  09:16:08,-7147,1303,-3247
71,  09:16:08,-7096,1322,-3192
72,  09:16:08,-7018,1309,-3191
73,  09:16:08,-7091,1343,-3206
74,  09:16:08,-7130,1325,-3210
75,  09:16:08,-7054,1316,-3285
76,  09:16:08,-7089,1261,-3277
77,  09:16:08,-7068,1237,-3247
78,  09:16:08,-7102,1231,-3163
79,  09:16:08,-7136,1265,-3172
80,  09:16:08,-7108,1260,-3156
81,  09:16:08,-7118,1324,-3154
82,  09:16:08,-7103,1334,-3182
83,  09:16:08,-7069,1281,-3213
84,  09:16:08,-7052,1314,-3182
85,  09:16:08,-7079,1315,-3168
