No, waktu, accx, accY, accZ,Akselerasi
1, 2018-07-09 08:37:29,-8192,947,-1173,8329.561933
2, 2018-07-09 08:37:29,-8192,1410,-614,8335.104079
3, 2018-07-09 08:37:29,-7502,505,-153,7520.534422
4, 2018-07-09 08:37:29,-6561,-677,1169,6698.627546
5, 2018-07-09 08:37:29,-4958,121,2697,5645.371024
6, 2018-07-09 08:37:29,-6015,1754,3753,7303.54366
7, 2018-07-09 08:37:29,-8192,2080,-1835,8648.843217
8, 2018-07-09 08:37:29,-8192,965,-920,8299.788491
9, 2018-07-09 08:37:29,-6547,1109,464,6656.454462
10, 2018-07-09 08:37:29,-6635,744,-115,6677.573362
11, 2018-07-09 08:37:29,-6316,1191,-165,6429.429368
12, 2018-07-09 08:37:29,-7070,1114,-651,7186.772363
13, 2018-07-09 08:37:29,-7775,850,-103,7822.003196
14, 2018-07-09 08:37:30,-7151,955,-339,7222.447438
15, 2018-07-09 08:37:30,-7944,2662,-1571,8524.16688
16, 2018-07-09 08:37:30,-8192,3377,-3008,9357.406532
17, 2018-07-09 08:37:30,-8192,1609,-3153,8924.077207
18, 2018-07-09 08:37:30,-8093,964,-1914,8371.937709
19, 2018-07-09 08:37:30,-7391,959,-1419,7586.838802
20, 2018-07-09 08:37:30,-8192,1008,388,8262.897313
21, 2018-07-09 08:37:30,-8192,2902,-293,8695.764314
22, 2018-07-09 08:37:30,-8192,3198,1865,8989.677024
23, 2018-07-09 08:37:30,-8192,645,2734,8660.233542
24, 2018-07-09 08:37:30,-5853,-1784,1918,6412.408986
25, 2018-07-09 08:37:30,-5118,-1236,998,5358.882719
26, 2018-07-09 08:37:30,-8192,3324,-1526,8971.427757
27, 2018-07-09 08:37:30,-8192,2790,-615,8675.897014
28, 2018-07-09 08:37:30,-6958,1566,837,7180.994987
29, 2018-07-09 08:37:30,-5412,92,546,5440.250362
30, 2018-07-09 08:37:30,-5839,241,-940,5919.087936
31, 2018-07-09 08:37:30,-7309,788,-35,7351.438635
32, 2018-07-09 08:37:30,-7974,256,-150,7979.518281
33, 2018-07-09 08:37:30,-7557,-1077,-817,7676.956884
34, 2018-07-09 08:37:30,-7191,-599,-752,7254.983529
35, 2018-07-09 08:37:30,-7236,144,-1302,7353.613805
36, 2018-07-09 08:37:30,-7427,582,-1127,7534.532633
37, 2018-07-09 08:37:30,-7830,757,-1051,7936.406618
38, 2018-07-09 08:37:30,-8152,606,-641,8199.586636
39, 2018-07-09 08:37:30,-8192,258,-560,8215.170601
40, 2018-07-09 08:37:30,-8192,1687,-2677,8781.865519
41, 2018-07-09 08:37:30,-8192,3283,-2594,9198.684091
42, 2018-07-09 08:37:30,-8192,1756,-382,8386.79462
43, 2018-07-09 08:37:30,-8192,-1137,533,8287.68496
44, 2018-07-09 08:37:30,-8192,-1933,1251,8509.42736
45, 2018-07-09 08:37:31,-5738,252,1908,6052.157632
46, 2018-07-09 08:37:31,-4446,2104,1813,5242.20383
47, 2018-07-09 08:37:31,-6573,1538,2674,7260.857319
48, 2018-07-09 08:37:31,-8192,1616,1503,8484.063236
49, 2018-07-09 08:37:31,-8192,416,-2109,8469.34478
50, 2018-07-09 08:37:31,-6510,-49,426,6524.107372
51, 2018-07-09 08:37:31,-5195,1249,1080,5451.094019
52, 2018-07-09 08:37:31,-5466,1299,210,5622.157682
53, 2018-07-09 08:37:31,-6657,357,104,6667.376846
54, 2018-07-09 08:37:31,-7229,1339,-447,7365.539424
55, 2018-07-09 08:37:31,-7580,2454,-1877,8185.453256
56, 2018-07-09 08:37:31,-6718,1978,-1173,7100.699754
57, 2018-07-09 08:37:31,-6844,1068,-397,6938.196379
58, 2018-07-09 08:37:31,-7561,1112,-1387,7767.176707
59, 2018-07-09 08:37:31,-8192,1630,-2025,8594.555777
60, 2018-07-09 08:37:31,-8192,914,-1690,8414.294979
61, 2018-07-09 08:37:31,-8192,824,-2254,8536.296387
62, 2018-07-09 08:37:31,-7391,2386,-3085,8356.859578
63, 2018-07-09 08:37:31,-7300,1925,-2720,8024.588775
64, 2018-07-09 08:37:31,-8192,1500,-1285,8426.748424
65, 2018-07-09 08:37:31,-8192,4602,1388,9498.095177
66, 2018-07-09 08:37:31,-8192,3331,-275,8847.60137
67, 2018-07-09 08:37:31,-7595,523,3260,8281.615422
68, 2018-07-09 08:37:31,-4826,-1387,3423,6077.085979
69, 2018-07-09 08:37:31,-4711,-1675,2941,5800.743659
70, 2018-07-09 08:37:31,-8005,-708,-1990,8278.972702
71, 2018-07-09 08:37:31,-8192,2929,560,8717.884204
72, 2018-07-09 08:37:31,-7549,2003,249,7814.180123
73, 2018-07-09 08:37:31,-5603,868,839,5731.575176
74, 2018-07-09 08:37:31,-5536,668,-25,5576.212424
75, 2018-07-09 08:37:31,-5842,1208,-114,5966.676127
76, 2018-07-09 08:37:31,-6584,1771,-317,6825.392736
77, 2018-07-09 08:37:31,-7330,1157,204,7423.554741
78, 2018-07-09 08:37:31,-7444,-182,-192,7448.699484
79, 2018-07-09 08:37:31,-7320,-902,-1657,7559.209813
