No, waktu, accx, accY, accZ,Akselerasi
1, 2018-07-09 06:18:00,-8192,535,2589,8608.020098
2, 2018-07-09 06:18:00,-8192,2558,1490,8710.472318
3, 2018-07-09 06:18:00,-2980,4910,1901,6049.983554
4, 2018-07-09 06:18:00,-3369,2556,2978,5172.212389
5, 2018-07-09 06:18:00,-6882,-1374,2582,7477.735219
6, 2018-07-09 06:18:00,-8192,-2412,1059,8605.119929
7, 2018-07-09 06:18:00,-8192,206,171,8196.373649
8, 2018-07-09 06:18:00,-7257,2090,670,7581.625749
9, 2018-07-09 06:18:00,-4931,4475,747,6700.626463
10, 2018-07-09 06:18:00,-5127,2453,433,5700.072543
11, 2018-07-09 06:18:00,-6051,926,106,6122.361718
12, 2018-07-09 06:18:00,-6765,865,95,6820.738596
13, 2018-07-09 06:18:00,-6685,1341,-49,6818.350754
14, 2018-07-09 06:18:00,-6541,1432,-627,6725.208844
15, 2018-07-09 06:18:01,-6416,1188,-1093,6615.969241
16, 2018-07-09 06:18:01,-7201,1396,80,7335.503868
17, 2018-07-09 06:18:01,-8192,2361,404,8535.01031
18, 2018-07-09 06:18:01,-8192,2572,-632,8609.49894
19, 2018-07-09 06:18:01,-7861,4073,-1873,9049.462912
20, 2018-07-09 06:18:01,-8192,4485,-4128,10210.99765
21, 2018-07-09 06:18:01,-8192,3530,-2756,9336.235858
22, 2018-07-09 06:18:01,-8192,5629,6545,11900.90459
23, 2018-07-09 06:18:01,-8192,3393,1354,8969.650439
24, 2018-07-09 06:18:01,-8192,242,4085,9157.218628
25, 2018-07-09 06:18:01,-6807,-2389,4900,8720.812462
26, 2018-07-09 06:18:01,-5063,-2740,3203,6587.926684
27, 2018-07-09 06:18:01,-5017,-6,-209,5021.354996
28, 2018-07-09 06:18:01,-8192,5343,1276,9863.300107
29, 2018-07-09 06:18:01,-7627,6212,1017,9889.103195
30, 2018-07-09 06:18:01,-6763,3138,511,7473.040479
31, 2018-07-09 06:18:01,-6567,426,194,6583.661671
32, 2018-07-09 06:18:01,-5845,-651,485,5901.105913
33, 2018-07-09 06:18:01,-5455,217,564,5488.370432
34, 2018-07-09 06:18:01,-5368,1974,417,5734.630677
35, 2018-07-09 06:18:01,-5786,2353,156,6248.098991
36, 2018-07-09 06:18:01,-7429,721,-908,7518.932504
37, 2018-07-09 06:18:01,-8192,613,-1264,8311.578009
38, 2018-07-09 06:18:01,-7961,845,-355,8013.58665
39, 2018-07-09 06:18:01,-6009,1712,614,6278.21798
