No, waktu, accx, accY, accZ,Akselerasi
1, 2018-07-09 08:37:59,-6840,340,679,6882.023031
2, 2018-07-09 08:37:59,-7692,838,580,7759.220837
3, 2018-07-09 08:37:59,-7118,480,1024,7207.281041
4, 2018-07-09 08:37:59,-6717,845,463,6785.75589
5, 2018-07-09 08:38:00,-6910,756,629,6979.633013
6, 2018-07-09 08:38:00,-7968,908,-218,8022.531521
7, 2018-07-09 08:38:00,-7962,-7,-683,7991.244083
8, 2018-07-09 08:38:00,-7516,620,-781,7581.861051
9, 2018-07-09 08:38:00,-7212,576,-1265,7344.722255
10, 2018-07-09 08:38:00,-7825,945,-1367,7999.521173
11, 2018-07-09 08:38:00,-8192,1477,-1916,8541.747421
12, 2018-07-09 08:38:00,-8192,-702,-198,8224.407091
13, 2018-07-09 08:38:00,-8192,198,-478,8208.322118
14, 2018-07-09 08:38:00,-8192,574,1027,8276.053951
15, 2018-07-09 08:38:00,-6080,1138,2065,6521.17083
16, 2018-07-09 08:38:00,-4637,1028,2677,5452.053008
17, 2018-07-09 08:38:00,-6204,915,2770,6855.635711
18, 2018-07-09 08:38:00,-8192,743,2134,8497.933219
19, 2018-07-09 08:38:00,-8192,408,-1185,8287.312773
20, 2018-07-09 08:38:00,-7637,903,1023,7757.944766
21, 2018-07-09 08:38:00,-6245,692,813,6335.602418
22, 2018-07-09 08:38:00,-5898,1740,1412,6309.338159
23, 2018-07-09 08:38:00,-6641,1335,1325,6902.226525
24, 2018-07-09 08:38:00,-7589,769,541,7647.023146
25, 2018-07-09 08:38:00,-7400,1288,227,7514.683826
26, 2018-07-09 08:38:00,-7433,1613,-837,7651.916557
27, 2018-07-09 08:38:00,-6744,2206,-29,7095.689748
28, 2018-07-09 08:38:00,-6934,1735,-687,7180.70679
29, 2018-07-09 08:38:00,-8192,1414,-1082,8383.256169
30, 2018-07-09 08:38:00,-8130,1870,-1245,8434.679899
31, 2018-07-09 08:38:00,-8192,2185,-1420,8596.481199
32, 2018-07-09 08:38:00,-8192,2015,-1859,8638.574535
33, 2018-07-09 08:38:00,-7471,2342,-2510,8221.976952
34, 2018-07-09 08:38:01,-7903,1571,-1431,8183.71621
35, 2018-07-09 08:38:01,-8192,2843,533,8687.669538
36, 2018-07-09 08:38:01,-8192,838,5356,9823.331614
37, 2018-07-09 08:38:01,-6220,-1846,4312,7790.344023
38, 2018-07-09 08:38:01,-5387,-2619,2798,6611.182496
39, 2018-07-09 08:38:01,-8192,1300,-1114,8368.982017
40, 2018-07-09 08:38:01,-8192,3896,-883,9114.130183
41, 2018-07-09 08:38:01,-7597,2956,324,8158.267034
42, 2018-07-09 08:38:01,-5458,2118,783,5906.672244
43, 2018-07-09 08:38:01,-5209,738,1077,5370.126069
44, 2018-07-09 08:38:01,-7009,-435,-358,7031.60508
45, 2018-07-09 08:38:01,-7090,-149,678,7123.902372
46, 2018-07-09 08:38:01,-7211,984,12,7277.83766
47, 2018-07-09 08:38:01,-7289,115,-386,7300.119314
48, 2018-07-09 08:38:01,-7781,-364,-963,7848.810483
49, 2018-07-09 08:38:01,-7932,-150,-1339,8045.622723
50, 2018-07-09 08:38:01,-7936,955,-1214,8084.919109
51, 2018-07-09 08:38:01,-8192,146,-224,8196.362364
52, 2018-07-09 08:38:01,-8192,-223,-2298,8511.133708
53, 2018-07-09 08:38:01,-8192,3220,-3891,9623.780182
54, 2018-07-09 08:38:01,-8192,4273,-1723,9398.729808
55, 2018-07-09 08:38:01,-8192,-409,1196,8288.942092
56, 2018-07-09 08:38:01,-8192,-2089,2320,8766.708904
57, 2018-07-09 08:38:01,-6132,-408,4660,7712.553922
58, 2018-07-09 08:38:01,-4967,2013,3263,6274.585803
59, 2018-07-09 08:38:01,-8192,4602,184,9397.9319
60, 2018-07-09 08:38:01,-8192,-405,-794,8240.347383
61, 2018-07-09 08:38:01,-8162,-767,580,8218.450766
62, 2018-07-09 08:38:01,-6148,-392,732,6203.820758
63, 2018-07-09 08:38:01,-5414,556,720,5489.893624
64, 2018-07-09 08:38:01,-5816,1013,239,5908.396229
65, 2018-07-09 08:38:01,-6391,1118,630,6518.566177
66, 2018-07-09 08:38:01,-7328,731,364,7373.360224
67, 2018-07-09 08:38:01,-7555,1420,-688,7718.015872
68, 2018-07-09 08:38:01,-7178,2409,-678,7601.753022
69, 2018-07-09 08:38:01,-7061,2563,-989,7576.596267
70, 2018-07-09 08:38:01,-7457,2072,-1105,7817.995779
71, 2018-07-09 08:38:01,-7858,1668,-1316,8140.162406
72, 2018-07-09 08:38:01,-8192,1865,-1501,8534.64059
73, 2018-07-09 08:38:01,-8192,1767,-1662,8543.617325
74, 2018-07-09 08:38:01,-8192,3669,-2477,9311.603192
75, 2018-07-09 08:38:02,-8192,1211,-2243,8579.419211
76, 2018-07-09 08:38:02,-8192,1359,-3,8303.96014
77, 2018-07-09 08:38:02,-8192,2665,366,8622.357276
78, 2018-07-09 08:38:02,-8192,2265,2070,8747.799095
79, 2018-07-09 08:38:02,-5033,-863,3516,6199.847901
80, 2018-07-09 08:38:02,-4364,-2061,3307,5850.509892
81, 2018-07-09 08:38:02,-5396,-699,1808,5733.60977
82, 2018-07-09 08:38:02,-8192,3321,-3030,9344.453168
83, 2018-07-09 08:38:02,-8192,3716,537,9011.431018
84, 2018-07-09 08:38:02,-7416,1894,468,7668.332022
85, 2018-07-09 08:38:02,-6203,547,1068,6317.993511
86, 2018-07-09 08:38:02,-6548,309,-668,6589.234326
87, 2018-07-09 08:38:02,-6630,100,-209,6634.047106
88, 2018-07-09 08:38:02,-7329,324,-660,7365.786923
89, 2018-07-09 08:38:02,-7262,147,-731,7300.179039
90, 2018-07-09 08:38:02,-7356,-674,-960,7448.933615
91, 2018-07-09 08:38:02,-7369,134,-891,7423.880252
92, 2018-07-09 08:38:02,-7918,1074,-1696,8168.513696
93, 2018-07-09 08:38:02,-8192,689,-1550,8365.768644
94, 2018-07-09 08:38:02,-8141,-256,-313,8151.035885
95, 2018-07-09 08:38:02,-8192,-227,-1870,8405.789255
96, 2018-07-09 08:38:02,-8192,2985,-358,8726.239339
97, 2018-07-09 08:38:02,-8192,1044,311,8264.110418
98, 2018-07-09 08:38:02,-8192,-221,1295,8296.669814
99, 2018-07-09 08:38:02,-4424,1398,1762,4962.945093
100, 2018-07-09 08:38:02,-4899,2949,2899,6411.006395
101, 2018-07-09 08:38:02,-8148,495,2756,8615.71036
102, 2018-07-09 08:38:02,-8192,-277,-2424,8547.59434
103, 2018-07-09 08:38:02,-8192,-635,1153,8297.077678
104, 2018-07-09 08:38:02,-6948,-75,20,6948.433564
105, 2018-07-09 08:38:03,-6312,1360,144,6458.45802
106, 2018-07-09 08:38:03,-6350,1493,380,6534.213725
107, 2018-07-09 08:38:03,-6586,1264,731,6745.921212
108, 2018-07-09 08:38:03,-7708,1181,-762,7835.09215
109, 2018-07-09 08:38:03,-7894,1602,-756,8090.313715
110, 2018-07-09 08:38:03,-6731,1560,-887,6966.112976
111, 2018-07-09 08:38:03,-7036,1173,-1014,7204.81929
112, 2018-07-09 08:38:03,-8061,1126,-1301,8242.584425
113, 2018-07-09 08:38:03,-8192,2033,-2489,8799.833748
114, 2018-07-09 08:38:03,-8192,2621,-2116,8857.53696
115, 2018-07-09 08:38:03,-8192,2721,-2489,8983.753447
116, 2018-07-09 08:38:03,-7565,2896,-3239,8723.941884
117, 2018-07-09 08:38:03,-8028,2339,-885,8408.503434
118, 2018-07-09 08:38:03,-8192,2022,-969,8493.309661
119, 2018-07-09 08:38:03,-8192,2617,1462,8723.244637
120, 2018-07-09 08:38:03,-8192,1734,3794,9192.935113
121, 2018-07-09 08:38:03,-4845,-1971,1719,5505.799397
122, 2018-07-09 08:38:03,-5367,-940,916,5525.155654
123, 2018-07-09 08:38:03,-8192,3345,-244,8851.972944
124, 2018-07-09 08:38:03,-8192,2560,-247,8586.237418
125, 2018-07-09 08:38:03,-6755,1219,707,6900.422813
126, 2018-07-09 08:38:03,-5845,72,322,5854.30551
127, 2018-07-09 08:38:03,-6137,194,-258,6145.483626
128, 2018-07-09 08:38:03,-6139,626,-430,6185.798008
129, 2018-07-09 08:38:03,-7003,912,-295,7068.293854
130, 2018-07-09 08:38:03,-7611,528,-301,7635.22796
131, 2018-07-09 08:38:03,-7181,26,-760,7221.152055
132, 2018-07-09 08:38:03,-8002,270,-1543,8153.879629
133, 2018-07-09 08:38:03,-8185,356,-1759,8379.441628
134, 2018-07-09 08:38:03,-8181,520,-1931,8421.871645
135, 2018-07-09 08:38:03,-7710,1356,-1981,8075.097337
136, 2018-07-09 08:38:04,-7921,-269,-1867,8142.499064
137, 2018-07-09 08:38:04,-8192,-1238,-1228,8375.529356
138, 2018-07-09 08:38:04,-8192,1462,-176,8323.297664
139, 2018-07-09 08:38:04,-8192,2662,521,8629.400269
140, 2018-07-09 08:38:04,-8192,2092,2671,8866.767675
141, 2018-07-09 08:38:04,-5421,1599,2572,6209.607556
142, 2018-07-09 08:38:04,-3828,864,2220,4508.711568
143, 2018-07-09 08:38:04,-5599,112,2500,6132.8089
144, 2018-07-09 08:38:04,-8192,-79,-3053,8742.763522
145, 2018-07-09 08:38:04,-8192,83,248,8196.173314
146, 2018-07-09 08:38:04,-7044,519,642,7092.211291
147, 2018-07-09 08:38:04,-6284,1236,536,6426.791423
148, 2018-07-09 08:38:04,-6252,1121,365,6362.182802
149, 2018-07-09 08:38:04,-6210,1080,427,6317.660089
150, 2018-07-09 08:38:04,-7841,1142,-863,7970.584295
151, 2018-07-09 08:38:04,-7881,1428,-993,8070.65016
152, 2018-07-09 08:38:04,-7263,1321,-980,7446.919497
153, 2018-07-09 08:38:04,-7124,1028,-882,7251.6263
154, 2018-07-09 08:38:04,-7791,1304,-1339,8012.054543
155, 2018-07-09 08:38:04,-8192,1950,-1969,8648.024341
156, 2018-07-09 08:38:04,-8192,1158,-1886,8485.683473
157, 2018-07-09 08:38:04,-8061,1531,-3208,8809.934506
158, 2018-07-09 08:38:04,-7074,2571,-2267,7860.712818
159, 2018-07-09 08:38:04,-8192,3152,-219,8780.200966
160, 2018-07-09 08:38:04,-8192,3398,-1192,8948.526806
161, 2018-07-09 08:38:04,-8192,2850,2479,9020.909322
162, 2018-07-09 08:38:04,-6128,-1059,3692,7232.200841
163, 2018-07-09 08:38:04,-4782,-2463,2956,6137.738101
164, 2018-07-09 08:38:04,-5814,-1153,361,5938.208989
165, 2018-07-09 08:38:04,-8192,-2022,908,8486.566561
166, 2018-07-09 08:38:04,-8192,5243,-896,9767.329676
167, 2018-07-09 08:38:04,-7203,2570,844,7694.182543
168, 2018-07-09 08:38:04,-5377,294,371,5397.796402
169, 2018-07-09 08:38:05,-6156,-660,-291,6198.113987
170, 2018-07-09 08:38:05,-6428,23,-586,6454.696662
171, 2018-07-09 08:38:05,-7050,1167,-791,7189.580655
172, 2018-07-09 08:38:05,-7581,1624,-325,7759.80425
173, 2018-07-09 08:38:05,-7504,23,-254,7508.332771
174, 2018-07-09 08:38:05,-7441,-697,-1127,7558.069793
175, 2018-07-09 08:38:05,-7595,-131,-2463,7985.458972
176, 2018-07-09 08:38:05,-8192,720,-1600,8377.783955
177, 2018-07-09 08:38:05,-8192,1310,-1055,8362.893578
178, 2018-07-09 08:38:05,-8192,494,-1075,8276.987677
179, 2018-07-09 08:38:05,-8192,-162,-1908,8412.821881
180, 2018-07-09 08:38:05,-8192,1466,-2619,8724.51609
181, 2018-07-09 08:38:05,-8192,2170,411,8484.496744
182, 2018-07-09 08:38:05,-8192,-270,1522,8336.560922
183, 2018-07-09 08:38:05,-7598,-116,2845,8114.005484
184, 2018-07-09 08:38:05,-4591,1361,3246,5784.990752
185, 2018-07-09 08:38:05,-5419,2169,1483,6022.409069
186, 2018-07-09 08:38:05,-8192,882,-1859,8446.458962
187, 2018-07-09 08:38:05,-8192,462,-425,8216.016857
188, 2018-07-09 08:38:05,-6822,158,-3,6823.830083
189, 2018-07-09 08:38:05,-5483,560,143,5513.378093
190, 2018-07-09 08:38:05,-5427,590,227,5463.694538
191, 2018-07-09 08:38:05,-7087,664,19,7118.06336
192, 2018-07-09 08:38:05,-7856,1515,-594,8022.767415
193, 2018-07-09 08:38:05,-7359,2087,-1164,7737.269932
194, 2018-07-09 08:38:05,-6632,2054,-1158,7038.700448
195, 2018-07-09 08:38:05,-6796,2014,-1068,7168.154295
196, 2018-07-09 08:38:05,-7648,1367,-1461,7905.385127
197, 2018-07-09 08:38:05,-8192,1122,-2254,8570.196264
198, 2018-07-09 08:38:05,-8192,1348,-1299,8403.176126
199, 2018-07-09 08:38:05,-8065,2129,-1681,8508.973322
