No, waktu, accx, accY, accZ,Akselerasi
1, 2018-07-09 08:35:31,-7508,1380,-1427,7766.002382
2, 2018-07-09 08:35:31,-8192,2257,-1278,8592.799136
3, 2018-07-09 08:35:31,-8166,727,-1861,8406.866598
4, 2018-07-09 08:35:31,-8192,-664,-2026,8464.894329
5, 2018-07-09 08:35:31,-8192,-1517,-654,8356.905468
6, 2018-07-09 08:35:31,-8192,-1911,55,8412.1228
7, 2018-07-09 08:35:31,-8192,-845,349,8242.856908
8, 2018-07-09 08:35:31,-6819,1486,120,6980.068553
9, 2018-07-09 08:35:31,-5349,1678,1690,5855.218612
10, 2018-07-09 08:35:31,-5904,158,3560,6896.069895
11, 2018-07-09 08:35:31,-7739,74,1385,7862.303861
12, 2018-07-09 08:35:31,-8192,957,-1002,8308.352243
13, 2018-07-09 08:35:31,-8009,1119,350,8094.36483
14, 2018-07-09 08:35:31,-8192,633,-600,8238.297943
15, 2018-07-09 08:35:31,-7322,1176,-364,7424.766394
16, 2018-07-09 08:35:31,-6368,697,-538,6428.582814
17, 2018-07-09 08:35:31,-7166,-194,-367,7178.013722
18, 2018-07-09 08:35:31,-7215,-55,-547,7235.914524
19, 2018-07-09 08:35:31,-7152,245,-678,7188.241301
20, 2018-07-09 08:35:31,-6880,1180,-688,7014.281431
21, 2018-07-09 08:35:31,-6429,2295,-1195,6930.158079
22, 2018-07-09 08:35:31,-7459,1282,-2051,7841.352307
23, 2018-07-09 08:35:31,-8192,770,-2234,8525.990852
24, 2018-07-09 08:35:31,-8192,1287,-2758,8739.095891
25, 2018-07-09 08:35:31,-8192,1967,-2139,8692.138632
26, 2018-07-09 08:35:31,-7781,3171,-2217,8689.895914
27, 2018-07-09 08:35:32,-7679,3384,-2632,8794.652978
28, 2018-07-09 08:35:32,-8192,1127,-2427,8617.965073
29, 2018-07-09 08:35:32,-8192,1505,-617,8351.920617
30, 2018-07-09 08:35:32,-8192,3707,-1270,9080.947803
31, 2018-07-09 08:35:32,-7868,2683,140,8314.055148
32, 2018-07-09 08:35:32,-6113,-232,1666,6340.201022
33, 2018-07-09 08:35:32,-5983,-2376,1426,6593.568154
34, 2018-07-09 08:35:32,-7441,-1305,243,7558.475706
35, 2018-07-09 08:35:32,-8192,1572,-1058,8408.294238
36, 2018-07-09 08:35:32,-8192,2894,-837,8728.382954
37, 2018-07-09 08:35:32,-7209,1916,-146,7460.70057
38, 2018-07-09 08:35:32,-6020,493,96,6040.915907
39, 2018-07-09 08:35:32,-6271,-321,-206,6282.588479
40, 2018-07-09 08:35:32,-7323,296,-1038,7402.120575
41, 2018-07-09 08:35:32,-7558,916,-211,7616.228791
42, 2018-07-09 08:35:32,-6969,309,-466,6991.394568
43, 2018-07-09 08:35:32,-6791,-841,-559,6865.671344
44, 2018-07-09 08:35:32,-6836,-762,-413,6890.726304
45, 2018-07-09 08:35:32,-7272,-36,-339,7279.986332
46, 2018-07-09 08:35:32,-7784,174,-823,7829.320596
47, 2018-07-09 08:35:32,-7985,-316,-1134,8071.309497
48, 2018-07-09 08:35:32,-7516,1001,-930,7639.185624
49, 2018-07-09 08:35:32,-7734,846,-1158,7865.839815
50, 2018-07-09 08:35:32,-8192,-375,-1138,8279.162578
51, 2018-07-09 08:35:32,-8192,-395,-2164,8482.204018
52, 2018-07-09 08:35:32,-8192,1255,-4643,9499.544094
53, 2018-07-09 08:35:32,-7855,-422,-1523,8012.405257
54, 2018-07-09 08:35:32,-8192,-323,-3402,8876.192709
55, 2018-07-09 08:35:32,-7960,1552,-5,8109.890813
