No, waktu, accx, accY, accZ,Akselerasi
1, 2018-07-09 06:13:18,-8192,1909,3083,8958.684837
2, 2018-07-09 06:13:18,-5996,5522,809,8191.396767
3, 2018-07-09 06:13:18,-4485,5252,1600,7089.339109
4, 2018-07-09 06:13:18,-4588,1599,4145,6386.514699
5, 2018-07-09 06:13:18,-6374,-1371,4363,7844.9529
6, 2018-07-09 06:13:18,-8030,-3247,1175,8740.968711
7, 2018-07-09 06:13:18,-8192,-1715,872,8414.8959
8, 2018-07-09 06:13:18,-8192,1134,2170,8550.071345
9, 2018-07-09 06:13:18,-7221,5690,726,9222.039742
10, 2018-07-09 06:13:18,-7842,1075,412,7926.054062
11, 2018-07-09 06:13:18,-6709,920,985,6843.048005
12, 2018-07-09 06:13:18,-6177,1018,1465,6429.453943
13, 2018-07-09 06:13:18,-7080,1320,759,7241.883802
14, 2018-07-09 06:13:18,-8183,1580,-183,8336.148871
15, 2018-07-09 06:13:18,-8041,1810,-112,8242.956084
16, 2018-07-09 06:13:18,-7070,1895,-76,7319.952254
17, 2018-07-09 06:13:18,-6677,1686,-527,6906.710795
18, 2018-07-09 06:13:18,-6754,1212,-442,6876.105293
19, 2018-07-09 06:13:18,-7207,911,66,7264.649062
20, 2018-07-09 06:13:18,-7518,1455,-12,7657.512194
21, 2018-07-09 06:13:18,-7146,2306,316,7515.504507
22, 2018-07-09 06:13:18,-6931,2864,696,7531.644774
23, 2018-07-09 06:13:19,-8192,2094,-144,8456.620838
24, 2018-07-09 06:13:19,-8192,304,-951,8252.616615
25, 2018-07-09 06:13:19,-7189,784,-1123,7318.299393
26, 2018-07-09 06:13:19,-6433,2131,-476,6793.469364
27, 2018-07-09 06:13:19,-7748,5241,3751,10078.17374
28, 2018-07-09 06:13:19,-8192,7060,2095,11015.51129
29, 2018-07-09 06:13:19,-8192,2527,835,8613.467246
30, 2018-07-09 06:13:19,-8192,-766,2013,8470.406661
31, 2018-07-09 06:13:19,-7877,-2150,2147,8442.70324
32, 2018-07-09 06:13:19,-4544,-2025,1740,5270.309384
33, 2018-07-09 06:13:19,-2922,-393,2613,3939.58145
34, 2018-07-09 06:13:19,-4717,4712,3880,7714.106105
35, 2018-07-09 06:13:19,-6402,5782,1993,8853.766261
36, 2018-07-09 06:13:19,-8192,2532,50,8574.519695
37, 2018-07-09 06:13:19,-8192,174,-233,8197.159813
38, 2018-07-09 06:13:19,-8192,-1611,988,8407.159389
39, 2018-07-09 06:13:19,-6848,-302,444,6869.0206
40, 2018-07-09 06:13:19,-6366,1326,236,6506.913861
41, 2018-07-09 06:13:19,-6783,1748,302,7011.119525
42, 2018-07-09 06:13:19,-7021,1642,95,7211.076896
43, 2018-07-09 06:13:19,-7251,1552,-460,7429.488879
44, 2018-07-09 06:13:19,-7176,1121,-772,7303.944208
45, 2018-07-09 06:13:19,-7086,702,-471,7136.248384
46, 2018-07-09 06:13:19,-7091,508,-337,7117.156314
47, 2018-07-09 06:13:19,-6925,507,-423,6956.407334
48, 2018-07-09 06:13:19,-7098,755,-518,7156.81165
49, 2018-07-09 06:13:19,-7590,676,424,7631.831497
50, 2018-07-09 06:13:19,-7366,-474,755,7419.747772
51, 2018-07-09 06:13:20,-7131,-699,15,7165.19274
52, 2018-07-09 06:13:20,-8035,1341,-1454,8274.878972
53, 2018-07-09 06:13:20,-8192,3090,-2029,8987.424826
54, 2018-07-09 06:13:20,-8192,3369,-2060,9094.098361
55, 2018-07-09 06:13:20,-7549,2684,-1242,8107.639669
56, 2018-07-09 06:13:20,-8192,-2920,6455,10830.61813
57, 2018-07-09 06:13:20,-8192,-2377,2191,8806.785679
58, 2018-07-09 06:13:20,-8192,-347,1697,8373.116624
59, 2018-07-09 06:13:20,-8192,1850,2906,8886.855462
60, 2018-07-09 06:13:20,-6023,6200,-74,8644.189089
61, 2018-07-09 06:13:20,-3805,4930,1937,6521.878104
62, 2018-07-09 06:13:20,-3628,1564,4160,5737.079396
63, 2018-07-09 06:13:20,-5240,-1232,5134,7438.641005
64, 2018-07-09 06:13:20,-7477,-3621,2020,8549.711691
65, 2018-07-09 06:13:20,-8192,-1329,212,8301.809983
66, 2018-07-09 06:13:20,-8192,2208,1618,8637.247941
67, 2018-07-09 06:13:20,-8192,2946,312,8711.206805
68, 2018-07-09 06:13:20,-6948,309,661,6986.208271
69, 2018-07-09 06:13:20,-6354,1294,1303,6614.042712
70, 2018-07-09 06:13:20,-7219,2223,599,7577.23505
71, 2018-07-09 06:13:20,-7837,2124,-277,8124.449151
72, 2018-07-09 06:13:20,-7269,1781,-296,7489.855673
73, 2018-07-09 06:13:20,-6392,1538,-176,6576.783712
74, 2018-07-09 06:13:20,-6730,708,-200,6770.093352
75, 2018-07-09 06:13:20,-7730,908,29,7783.200177
76, 2018-07-09 06:13:21,-7591,1645,-85,7767.6593
77, 2018-07-09 06:13:21,-6448,3287,849,7287.103265
78, 2018-07-09 06:13:21,-7071,3352,-604,7848.551522
79, 2018-07-09 06:13:21,-8192,1352,-1917,8521.247385
80, 2018-07-09 06:13:21,-8192,-380,-788,8238.58046
81, 2018-07-09 06:13:21,-7726,-766,-1670,7941.456541
82, 2018-07-09 06:13:21,-8184,1387,-629,8324.497943
83, 2018-07-09 06:13:21,-8192,6731,4652,11578.26969
84, 2018-07-09 06:13:21,-8192,7942,1314,11485.24375
85, 2018-07-09 06:13:21,-8192,4684,3911,10214.92247
86, 2018-07-09 06:13:21,-8192,898,4944,9610.327986
87, 2018-07-09 06:13:21,-6735,-887,1253,6907.749489
88, 2018-07-09 06:13:21,-5486,-2416,-130,5995.844561
89, 2018-07-09 06:13:21,-3379,-1090,531,3589.944568
90, 2018-07-09 06:13:21,-6330,3390,4500,8474.137124
91, 2018-07-09 06:13:21,-8192,4300,1682,9403.615688
92, 2018-07-09 06:13:21,-8192,1419,-297,8319.292879
93, 2018-07-09 06:13:21,-8192,-1601,1087,8417.460068
94, 2018-07-09 06:13:21,-7698,-1625,1306,7975.303443
95, 2018-07-09 06:13:21,-7155,1373,716,7320.642731
96, 2018-07-09 06:13:21,-6592,2342,444,7009.747784
97, 2018-07-09 06:13:21,-6850,2277,-684,7250.867879
98, 2018-07-09 06:13:21,-6732,2150,-275,7072.336884
99, 2018-07-09 06:13:21,-6548,1580,51,6736.119432
100, 2018-07-09 06:13:21,-6821,859,-297,6881.288469
101, 2018-07-09 06:13:21,-7075,843,-480,7141.195558
102, 2018-07-09 06:13:21,-7307,902,163,7364.266562
103, 2018-07-09 06:13:21,-7481,938,1143,7625.723179
104, 2018-07-09 06:13:22,-7936,65,1822,8142.727123
105, 2018-07-09 06:13:22,-8192,1322,-1140,8375.926695
106, 2018-07-09 06:13:22,-8192,3960,-2891,9547.164239
107, 2018-07-09 06:13:22,-8192,4209,-2443,9528.525279
108, 2018-07-09 06:13:22,-7557,1471,-678,7728.633385
109, 2018-07-09 06:13:22,-8192,-2575,4912,9892.786918
110, 2018-07-09 06:13:22,-8192,-2552,3981,9458.854529
111, 2018-07-09 06:13:22,-8192,47,2616,8599.681913
112, 2018-07-09 06:13:22,-7705,2125,2373,8337.492369
113, 2018-07-09 06:13:22,-2615,6728,60,7218.57389
114, 2018-07-09 06:13:22,-2179,4549,2865,5800.833302
115, 2018-07-09 06:13:22,-7188,818,5411,9034.123588
116, 2018-07-09 06:13:22,-8192,-5248,2480,10039.95857
117, 2018-07-09 06:13:22,-8192,-4280,-226,9245.449692
118, 2018-07-09 06:13:22,-7565,1495,735,7746.255547
119, 2018-07-09 06:13:22,-7909,6600,1694,10439.44045
120, 2018-07-09 06:13:22,-5766,3147,-188,6571.583447
121, 2018-07-09 06:13:22,-7044,-1164,764,7180.287459
122, 2018-07-09 06:13:22,-6820,539,934,6904.728597
123, 2018-07-09 06:13:22,-7821,1501,130,7964.793908
124, 2018-07-09 06:13:22,-8019,3181,-694,8654.753492
125, 2018-07-09 06:13:22,-7081,3217,-576,7798.809268
126, 2018-07-09 06:13:22,-6667,1919,-516,6956.845981
127, 2018-07-09 06:13:22,-7107,812,-214,7156.436893
128, 2018-07-09 06:13:22,-7015,816,-134,7063.571122
