No, waktu, accx, accY, accZ,Akselerasi
,,-8192,2656,-1895,8817.835619
,,-8192,3265,-762,8851.538454
,,-8192,2238,-1541,8630.88576
,,-8192,-426,520,8219.53405
,,-8192,-3680,4442,10019.11313
,,-8192,-2856,2343,8986.392435
,,-8192,156,1736,8375.37438
,,-8192,1806,2538,8764.242352
,,-7524,4319,1673,8835.341872
,,-4565,3581,2776,6431.870801
,,-4555,1451,3871,6151.26548
,,-6203,-567,4657,7777.296895
,,-7592,-2006,3197,8478.402503
,,-8192,-7,1530,8333.65544
,,-7007,1812,1630,7418.779751
,,-6192,2430,1753,6878.864223
,,-6529,867,1282,6709.922056
,,-6778,237,1183,6884.543703
,,-6367,931,1440,6593.864572
,,-6523,1733,1151,6846.723231
,,-6888,2014,133,7177.633942
,,-7050,1769,-226,7272.065525
,,-6551,1549,-108,6732.508151
,,-7091,1019,-454,7178.214123
,,-7909,1290,-495,8028.786085
,,-8192,2353,40,8523.325231
,,-8192,2785,-650,8676.84211
,,-8192,3626,-2134,9209.272284
,,-8192,2900,-3359,9316.745408
,,-8192,4179,2426,9510.961098
,,-8192,7157,6184,12512.92807
,,-8192,92,3302,8832.923185
,,-6203,-3665,1748,7413.834231
,,-2877,-2226,1595,3971.930261
,,-2832,-3167,1655,4559.510719
,,-2829,1400,1405,3455.034877
,,-8192,1868,3336,9040.308844
,,-5729,8192,-1905,10176.41047
,,-8192,2471,971,8611.477574
,,-8192,-3387,275,8868.836339
,,-8192,-2958,-175,8711.443795
,,-6620,-828,127,6672.788997
,,-4876,2620,-218,5539.6119
,,-5053,3626,-527,6241.667566
,,-6507,1653,-504,6732.568158
,,-7135,668,-236,7170.08682
,,-7240,1207,12,7339.931403
,,-7244,1457,1113,7472.426246
,,-7405,-210,2534,7829.385736
,,-8014,-689,126,8044.550516
,,-8192,2902,-5893,10500.37699
,,-8192,3718,-805,9032.187609
,,-8192,-506,6099,10225.5905
,,-8192,-1775,4635,9578.241697
,,-8192,109,760,8227.9004
,,-5742,974,3127,6610.398551
,,-3636,4390,3173,6523.842809
,,-3319,4396,2165,5918.429015
,,-6732,846,1820,7024.808894
,,-8192,-3486,1834,9089.808359
,,-8192,-2215,1224,8573.987695
,,-7384,1798,746,7636.280246
,,-6760,5202,557,8548.020414
,,-6478,2067,191,6802.459408
,,-6698,358,797,6754.744777
,,-6304,-471,706,6360.872031
,,-6329,612,136,6359.974921
,,-6761,1260,-832,6927.549711
,,-7325,1374,-1316,7568.048427
,,-7694,1422,-104,7824.994313
,,-7317,1761,1013,7593.79872
,,-6147,2077,693,6525.318919
,,-6020,3262,-36,6847.067986
,,-8192,3682,-2307,9272.984255
,,-8192,2219,-3248,9087.481994
,,-8192,2867,2557,9048.02752
,,-8192,3950,2103,9334.557997
,,-8192,2814,3019,9172.885097
,,-7038,1319,4271,8337.544363
,,-4810,-672,4804,6831.259035
,,-4642,-2473,2879,5996.043195
,,-5896,-1432,801,6120.052369
,,-8192,1102,-287,8270.770037
,,-7165,5544,1416,9169.417484
,,-6634,3291,1770,7614.035527
