No, waktu, accx, accY, accZ
124, 2018-07-09 06:17:55,-5854,1254,547
125, 2018-07-09 06:17:55,-5870,2095,-327
126, 2018-07-09 06:17:55,-6263,2701,-1540
127, 2018-07-09 06:17:55,-6773,2487,-1422
128, 2018-07-09 06:17:55,-7200,2159,204
129, 2018-07-09 06:17:55,-7147,917,-26
130, 2018-07-09 06:17:55,-6971,1659,259
131, 2018-07-09 06:17:55,-8192,4376,-1483
132, 2018-07-09 06:17:55,-8192,3910,-4208
133, 2018-07-09 06:17:55,-8192,4997,3350
134, 2018-07-09 06:17:55,-8192,4664,3983
135, 2018-07-09 06:17:55,-8192,1597,813
136, 2018-07-09 06:17:55,-6655,-918,4190
137, 2018-07-09 06:17:55,-4566,-2131,4609
138, 2018-07-09 06:17:55,-4712,-2659,2665
139, 2018-07-09 06:17:55,-5916,527,-1513
140, 2018-07-09 06:17:55,-7029,5881,1379
141, 2018-07-09 06:17:55,-6582,3586,2468
142, 2018-07-09 06:17:55,-7301,1967,-115
143, 2018-07-09 06:17:55,-7113,378,-344
144, 2018-07-09 06:17:55,-6331,-111,777
145, 2018-07-09 06:17:55,-6135,860,-444
146, 2018-07-09 06:17:55,-6162,1069,-488
147, 2018-07-09 06:17:55,-6494,1061,-1324
148, 2018-07-09 06:17:55,-6885,634,-1506
149, 2018-07-09 06:17:55,-8192,-858,348
150, 2018-07-09 06:17:55,-8039,409,712
151, 2018-07-09 06:17:55,-7733,1344,-841
152, 2018-07-09 06:17:55,-8192,1960,-3740
153, 2018-07-09 06:17:55,-8192,2162,-2414
154, 2018-07-09 06:17:56,-8192,1403,5391
155, 2018-07-09 06:17:56,-8192,619,1123
156, 2018-07-09 06:17:56,-8192,675,1656
157, 2018-07-09 06:17:56,-3334,972,2184
158, 2018-07-09 06:17:56,-1784,2931,2475
159, 2018-07-09 06:17:56,-5357,2035,1908
160, 2018-07-09 06:17:56,-8192,161,1340
161, 2018-07-09 06:17:56,-8192,-963,1002
162, 2018-07-09 06:17:56,-8192,-30,-38
163, 2018-07-09 06:17:56,-6934,3050,1127
164, 2018-07-09 06:17:56,-5701,3350,319
165, 2018-07-09 06:17:56,-5615,1784,-346
166, 2018-07-09 06:17:56,-6008,571,777
167, 2018-07-09 06:17:56,-6959,1330,567
168, 2018-07-09 06:17:56,-7241,1789,-751
169, 2018-07-09 06:17:56,-6879,1260,-1119
170, 2018-07-09 06:17:56,-7213,927,-593
171, 2018-07-09 06:17:56,-7524,1444,-16
172, 2018-07-09 06:17:56,-7425,2425,539
173, 2018-07-09 06:17:56,-7080,3238,-1199
174, 2018-07-09 06:17:56,-7634,3566,-2634
175, 2018-07-09 06:17:56,-8192,3998,-1428
176, 2018-07-09 06:17:56,-8192,5189,4896
177, 2018-07-09 06:17:56,-8192,4580,1092
178, 2018-07-09 06:17:56,-8192,390,2045
179, 2018-07-09 06:17:56,-5129,-1787,3024
180, 2018-07-09 06:17:56,-5365,-3447,3398
181, 2018-07-09 06:17:56,-5722,-320,1219
182, 2018-07-09 06:17:56,-8192,4758,308
183, 2018-07-09 06:17:56,-7382,6443,212
184, 2018-07-09 06:17:56,-6304,1874,433
185, 2018-07-09 06:17:56,-6503,546,94
186, 2018-07-09 06:17:56,-6525,-147,497
187, 2018-07-09 06:17:56,-6448,92,1255
188, 2018-07-09 06:17:56,-6665,989,44
189, 2018-07-09 06:17:57,-6686,1679,-870
190, 2018-07-09 06:17:57,-6220,1686,-1060
191, 2018-07-09 06:17:57,-7067,1192,-982
192, 2018-07-09 06:17:57,-8192,570,281
193, 2018-07-09 06:17:57,-7340,140,722
194, 2018-07-09 06:17:57,-7922,-938,-490
195, 2018-07-09 06:17:57,-8192,634,-2375
196, 2018-07-09 06:17:57,-8192,2904,2016
197, 2018-07-09 06:17:57,-8192,3381,1596
198, 2018-07-09 06:17:57,-8192,1459,1036
199, 2018-07-09 06:17:57,-4666,1822,2398
200, 2018-07-09 06:17:57,-3410,3246,2964
201, 2018-07-09 06:17:57,-4340,3127,2651
202, 2018-07-09 06:17:57,-7338,-8,477
203, 2018-07-09 06:17:57,-8192,-1568,1012
204, 2018-07-09 06:17:57,-8192,-1453,1077
205, 2018-07-09 06:17:57,-8192,1248,265
206, 2018-07-09 06:17:57,-6950,2870,356
207, 2018-07-09 06:17:57,-5956,2597,136
208, 2018-07-09 06:17:57,-5906,1599,-136
209, 2018-07-09 06:17:57,-6014,1149,289
210, 2018-07-09 06:17:57,-6441,1485,24
211, 2018-07-09 06:17:57,-7013,1822,-964
212, 2018-07-09 06:17:57,-7388,1424,-1335
213, 2018-07-09 06:17:57,-7417,995,-818
214, 2018-07-09 06:17:57,-7029,1419,11
215, 2018-07-09 06:17:57,-6822,1492,770
216, 2018-07-09 06:17:57,-6737,2638,-102
217, 2018-07-09 06:17:57,-8192,3567,-3000
218, 2018-07-09 06:17:57,-8192,3668,-1889
219, 2018-07-09 06:17:57,-8192,4920,5593
220, 2018-07-09 06:17:57,-8192,4909,1029
221, 2018-07-09 06:17:57,-8192,2073,2407
222, 2018-07-09 06:17:57,-6642,-1122,4066
223, 2018-07-09 06:17:57,-5092,-1923,4257
224, 2018-07-09 06:17:57,-6507,-3082,1229
225, 2018-07-09 06:17:57,-8192,1410,841
226, 2018-07-09 06:17:57,-5599,8192,879
227, 2018-07-09 06:17:57,-6110,4873,1786
228, 2018-07-09 06:17:57,-6108,2817,1023
229, 2018-07-09 06:17:58,-7050,1400,379
230, 2018-07-09 06:17:58,-7576,294,479
231, 2018-07-09 06:17:58,-8048,-359,690
232, 2018-07-09 06:17:58,-7500,1418,-406
233, 2018-07-09 06:17:58,-6559,1434,-351
234, 2018-07-09 06:17:58,-5912,1246,-617
235, 2018-07-09 06:17:58,-6031,1370,-1100
236, 2018-07-09 06:17:58,-6892,1471,-837
237, 2018-07-09 06:17:58,-7871,1450,-8
