 device , waktu, accx, accY, accZ
1, 23:33:09,-7245,1840,-355
1, 23:33:09,-6610,733,52
1, 23:33:09,-7002,662,-136
1, 23:33:09,-7307,1553,-424
1, 23:33:09,-7242,2569,-191
1, 23:33:09,-7116,2932,-302
1, 23:33:09,-7243,2670,-1463
1, 23:33:09,-8192,2109,-2485
1, 23:33:09,-8192,1827,-1684
1, 23:33:09,-8192,3653,3006
1, 23:33:09,-8192,5752,2165
1, 23:33:09,-8192,4693,3160
1, 23:33:09,-8192,1676,5154
1, 23:33:09,-7396,-810,3794
1, 23:33:09,-5026,-2030,2142
1, 23:33:09,-5378,-3332,1398
1, 23:33:09,-3807,493,561
1, 23:33:09,-8192,716,3361
1, 23:33:09,-5771,8192,234
1, 23:33:09,-8192,329,923
1, 23:33:09,-8007,-552,857
1, 23:33:10,-7055,-1096,1528
