 device, waktu, accx, accY, accZ
170, 23:02:10,-7042,-1287,225
171, 23:02:10,-7145,-1409,557
172, 23:02:10,-7353,-1028,734
173, 23:02:10,-7571,-467,1063
174, 23:02:10,-7407,-642,1176
175, 23:02:10,-7278,-795,939
176, 23:02:10,-7768,-705,1157
177, 23:02:10,-8137,-778,1480
178, 23:02:10,-8192,-828,1797
179, 23:02:10,-8192,-859,2209
180, 23:02:12,-8192,-589,2235
181, 23:02:12,-8192,-729,2242
182, 23:02:12,-8174,-991,2453
183, 23:02:12,-8107,-1073,2480
184, 23:02:12,-7859,-938,2679
185, 23:02:12,-7483,197,1569
186, 23:02:12,-8192,-1793,764
187, 23:02:12,-8192,-2140,-107
188, 23:02:12,-8192,-1513,-1529
189, 23:02:12,-7120,1111,-897
190, 23:02:12,-6158,2097,-77
191, 23:02:12,-6982,343,106
192, 23:02:12,-8192,-1420,719
193, 23:02:12,-8192,-1051,-44
194, 23:02:12,-7357,583,875
195, 23:02:12,-6971,796,1199
196, 23:02:12,-7398,-7,1154
197, 23:02:12,-7750,-128,920
198, 23:02:12,-7440,-77,1025
199, 23:02:12,-7496,140,1079
200, 23:02:12,-7929,-255,927
201, 23:02:12,-8192,-492,1398
202, 23:02:12,-8192,-231,2022
203, 23:02:12,-8192,-147,2482
204, 23:02:12,-8192,-82,2556
