  device , waktu, accx, accY, accZ
171, 22:56:04,-8192,-144,-173
172, 22:56:04,-8192,-719,-2402
173, 22:56:04,-8192,-846,-62
174, 22:56:04,-8192,1853,5443
175, 22:56:04,-8192,2726,1066
176, 22:56:04,-8192,1812,1589
177, 22:56:04,-4839,2545,2922
178, 22:56:04,-4204,4108,3186
179, 22:56:04,-6411,1852,1374
180, 22:56:04,-8142,-478,1176
181, 22:56:04,-8192,-1708,1909
182, 22:56:04,-8192,-1171,1240
183, 22:56:04,-6952,1451,549
184, 22:56:04,-6136,2934,647
185, 22:56:05,-6432,1722,193
186, 22:56:05,-6735,870,579
187, 22:56:05,-6526,961,816
188, 22:56:05,-6700,1818,408
189, 22:56:05,-6730,2442,-958
190, 22:56:05,-6686,1908,-951
191, 22:56:05,-7297,1215,-350
192, 22:56:05,-7497,1895,359
193, 22:56:05,-7492,2880,-294
194, 22:56:05,-7596,3854,-1614
195, 22:56:05,-8192,3475,-2950
196, 22:56:05,-8192,3977,896
197, 22:56:05,-8192,4855,5144
198, 22:56:05,-8192,2829,-224
199, 22:56:05,-8192,432,3242
200, 22:56:05,-6076,-1320,5218
201, 22:56:05,-4265,-1909,4496
202, 22:56:05,-5300,-861,1606
203, 22:56:05,-8192,2101,-276
204, 22:56:05,-7924,6483,1055
205, 22:56:05,-7461,3426,1073
206, 22:56:05,-7304,1623,42
207, 22:56:05,-6248,-703,632
208, 22:56:05,-5642,77,854
209, 22:56:05,-5868,1450,86
210, 22:56:05,-6154,2168,-297
211, 22:56:05,-6723,1004,-1260
212, 22:56:05,-6986,648,-1570
