device, waktu, accx, accY, accZ
1,-193,-609,-1047,907
2,-164,-954,-900,553
3,606,-1278,-935,751
4,1402,-1630,-714,832
5,-121,-869,-570,573
6,-880,447,-672,457
7,-209,510,-413,329
8,-459,-199,180,439
9,79,-1235,489,600
10,34,77,771,857
11,430,1739,656,1053
12,1377,1965,1242,284
13,3016,35,1672,595
14,1982,-378,1062,395
15,-428,-735,40,608
16,535,-783,1135,842
17,816,1,2085,1210
18,289,261,1004,624
19,851,578,1330,2022
20,1339,-432,1246,781
21,1873,-989,1150,572
22,2102,-889,1067,1124
23,2210,-836,241,856
24,1482,-1586,1045,-216
25,1462,-1494,1052,448
26,1765,-1458,1583,-66
27,1952,-1546,1583,435
28,1788,-2413,979,826
29,2046,-2614,1892,-359
30,1223,-2171,1599,432
31,1137,-566,609,-254
32,3120,-365,247,1013
33,3215,1219,481,-340
34,1536,1738,94,-28
35,-609,2783,757,515
36,-1187,3347,2435,1012
37,542,2583,3216,1044
38,2252,-376,4450,-173
39,2274,-1056,2249,-1930
40,1876,1215,1454,-4102
41,1184,746,1502,-3574
42,961,556,1138,-1601
43,1249,-1364,1191,851
44,1373,-400,3398,-1175
45,674,157,4841,-2057
46,-77,-544,5365,-1162
47,-206,-483,5457,884
48,674,-84,3810,3070
49,297,-1303,2254,1663
50,604,-793,71,2476
51,705,-648,-1524,4079
52,-692,-1838,-1039,2780
53,205,-2771,-2265,3076
54,2701,-2620,-3444,3569
55,1688,541,-1939,1274
56,-1126,2022,-2013,-1466
57,-269,3016,-2173,-2293
58,1642,3449,-2245,2902
59,2323,1650,-1206,4089
60,15,470,-996,3308
61,-817,-974,-1763,3579
62,-462,1497,-3000,1738
63,578,1205,-2478,-77
64,1816,1013,-1466,18
65,1776,96,-1137,603
66,900,-586,224,826
67,751,-772,1292,1225
68,1702,-336,2515,425
69,1309,-879,3295,-1184
70,300,-897,3110,-821
71,1152,-1380,2467,-314
72,1658,-1586,940,-241
73,2331,-1943,-1527,-848
74,3213,-1811,-2553,-843
75,444,-2287,-1853,-983
76,650,-357,-1700,19
77,3444,-1148,-2788,-1561
78,2616,1914,-4522,-1842
79,-54,3221,-6227,-1914
80,-2060,3309,-5663,-3610
81,-1178,1559,-3220,-1690
82,2537,-2425,-793,3672
83,3173,-147,390,3755
84,2136,381,1020,7
85,870,-248,-408,-206
86,673,-539,-1018,-918
87,88,-545,-1105,-424
88,794,-1024,-730,1230
89,-232,-227,-74,2076
90,-399,-134,-408,738
91,-36,-1519,-1007,-392
92,537,-1268,-1378,-389
93,488,-1614,-1304,-488
94,596,-1466,-1146,15
95,-1649,-910,-1073,600
96,-173,-2556,-223,-198
97,3942,-1233,457,370
98,3318,-166,-925,1051
99,944,1911,-1997,-1033
100,701,1483,-4260,350
101,-784,2985,-2251,2030
102,74,1875,1075,-2427
103,1428,-470,184,-4440
104,734,1112,-1237,-1056
105,1108,1189,-2300,4695
106,222,975,6,5888
107,845,-380,1765,302
108,1137,284,1222,-3388
109,1288,-397,1730,-3010
110,1498,-107,2880,-2013
111,954,-677,2371,159
112,1337,-1150,1584,1683
113,1872,-1765,1122,291
114,2168,-876,1605,-375
115,1145,-1509,2522,-624
116,1369,-1571,4130,-1094
117,2722,-4198,5124,-693
