device, waktu, accx, accY, accZ
169, 23:05:42,-8192,-756,2946
170, 23:05:42,-8192,-525,2699
171, 23:05:42,-4564,1987,2486
172, 23:05:42,-3345,6060,2404
173, 23:05:42,-5938,2153,3478
174, 23:05:42,-7798,-1651,4190
175, 23:05:42,-8192,-3153,2905
176, 23:05:42,-8192,643,2269
177, 23:05:42,-8192,2951,113
178, 23:05:42,-6533,3186,-626
179, 23:05:42,-5339,1423,-1297
180, 23:05:42,-4733,946,162
181, 23:05:42,-6270,1225,2705
182, 23:05:42,-7304,1790,3572
183, 23:05:42,-7378,1613,3240
184, 23:05:42,-6589,810,2725
185, 23:05:42,-6098,1241,2116
186, 23:05:42,-6605,1978,601
187, 23:05:42,-7768,3676,1577
188, 23:05:42,-8192,3849,2540
189, 23:05:42,-8192,2446,2417
190, 23:05:42,-8192,4097,2536
191, 23:05:42,-8192,4771,2369
192, 23:05:42,-8192,2125,2510
193, 23:05:42,-6767,1720,2474
194, 23:05:42,-4991,-937,3429
195, 23:05:42,-5865,-2458,4256
196, 23:05:42,-8192,813,3655
197, 23:05:42,-8192,4429,2394
198, 23:05:42,-7503,4950,-133
199, 23:05:42,-6563,3225,-140
200, 23:05:42,-6037,1893,-401
201, 23:05:43,-5288,271,-548
202, 23:05:43,-5848,920,750
203, 23:05:43,-6921,1921,1775
204, 23:05:43,-7367,1822,2972
205, 23:05:43,-6900,1200,2766
206, 23:05:43,-6464,1061,1076
207, 23:05:43,-7674,1152,1006
208, 23:05:43,-8050,1377,2406
209, 23:05:43,-7886,-151,2348
210, 23:05:43,-8192,-381,2567
211, 23:05:43,-8192,2028,3228
212, 23:05:43,-8192,2793,3155
213, 23:05:43,-8192,736,3101
214, 23:05:43,-8192,-813,2586
215, 23:05:43,-8192,-714,3905
216, 23:05:43,-5630,1742,3194
217, 23:05:43,-4069,4242,2216
218, 23:05:43,-3974,4460,536
219, 23:05:43,-5656,1188,-831
220, 23:05:43,-7416,-1375,-1699
221, 23:05:43,-8192,-1893,2050
222, 23:05:43,-8192,619,2941
223, 23:05:43,-7733,2500,2250
224, 23:05:43,-5234,3141,2048
225, 23:05:43,-5256,1624,1272
226, 23:05:43,-6439,203,658
