device, waktu, accx, accY, accZ
5108, 23:24:24,-8192,620,-2094
5109, 23:24:24,-8192,-1172,-14
5110, 23:24:24,-8192,-779,-130
5111, 23:24:24,-8192,-857,332
5112, 23:24:24,-7231,800,-174
5113, 23:24:24,-5198,814,965
5114, 23:24:24,-4470,391,2436
5115, 23:24:24,-5455,283,3801
5116, 23:24:24,-8192,1200,-1824
5117, 23:24:24,-8030,1871,105
5118, 23:24:25,-7046,833,672
5119, 23:24:25,-6226,535,743
5120, 23:24:25,-6195,933,66
5121, 23:24:25,-7560,1072,-342
5122, 23:24:25,-7776,511,-679
5123, 23:24:25,-7123,406,-990
5124, 23:24:25,-6876,1144,-1234
5125, 23:24:25,-6724,1828,-1239
5126, 23:24:25,-7038,1513,-1008
5127, 23:24:25,-7646,1115,-1139
5128, 23:24:25,-8021,895,-590
5129, 23:24:25,-8192,1417,-1393
5130, 23:24:25,-8192,3014,-1912
5131, 23:24:25,-8192,3110,-2010
5132, 23:24:25,-8192,1646,-2541
5133, 23:24:25,-8192,1866,-1320
5134, 23:24:25,-8192,3381,-2032
5135, 23:24:25,-8192,2635,563
5136, 23:24:25,-7539,611,3061
5137, 23:24:25,-4581,-1852,2677
5138, 23:24:25,-4309,-1313,2471
5139, 23:24:25,-8192,792,-641
5140, 23:24:25,-8192,2499,-73
5141, 23:24:25,-8192,1322,988
5142, 23:24:25,-6116,56,785
5143, 23:24:25,-5864,-157,-189
5144, 23:24:25,-6321,561,-1586
5145, 23:24:26,-6793,1307,-134
5146, 23:24:26,-7660,906,-805
5147, 23:24:26,-7261,395,-1042
5148, 23:24:26,-7730,1081,-281
5149, 23:24:26,-8192,259,-2084
5150, 23:24:26,-8192,-1052,-1616
5151, 23:24:26,-7831,393,-412
5152, 23:24:26,-8192,504,-673
5153, 23:24:26,-8192,3661,-4490
5154, 23:24:26,-8192,4800,-2820
5155, 23:24:26,-8192,1907,195
(5156, '23:24:26',-8192,-3984,3948
(5157, '23:24:26',-7407,-3800,4895
(5158, '23:24:26',-4672,519,4436
(5159, '23:24:26',-8192,3088,1976
(5160, '23:24:26',-8192,3640,-4238
(5161, '23:24:26',-8192,-855,-706
(5162, '23:24:26',-7221,-1740,1178
(5163, '23:24:26',-5292,-704,1859
(5164, '23:24:26',-6657,1261,1275
(5165, '23:24:26',-7819,1654,-283
(5166, '23:24:26',-7326,1323,-14
(5167, '23:24:26',-7329,1283,-656
(5168, '23:24:26',-7233,2073,-814
(5169, '23:24:26',-7036,2033,-1414
(5170, '23:24:26',-6575,1879,-336
(5171, '23:24:26',-6818,1672,-868
(5172, '23:24:26',-8192,1725,-2569
(5173, '23:24:26',-8192,1902,-1840
(5174, '23:24:27',-8192,2515,-1350
(5175, '23:24:27',-7808,2518,-2044
(5176, '23:24:27',-8192,2032,-747
(5177, '23:24:27',-8192,467,-1659
(5178, '23:24:27',-8192,2583,1070
(5179, '23:24:27',-6704,3,2100
(5180, '23:24:27',-4741,-1980,2538
(5181, '23:24:27',-5211,-1538,2892
(5182, '23:24:27',-8192,3386,-1768
(5183, '23:24:27',-8192,3489,-817
(5184, '23:24:27',-7686,1777,764
(5185, '23:24:27',-5939,150,1100
(5186, '23:24:27',-6014,530,-210
(5187, '23:24:27',-6867,1318,-1165
(5188, '23:24:27',-6877,850,299
(5189, '23:24:27',-6496,-45,226
