No, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch,Akselerasi
1, 2018-07-09 08:44:56,-6299,1153,-2567,-6111,2619,-4104,-66.06,6.92,6899.007102
2, 2018-07-09 08:44:56,-4927,1110,-307,-4162,-72,-3722,-66.03,6.66,5059.810075
3, 2018-07-09 08:44:56,-4283,801,-960,-5181,54,-4541,-65.95,6.36,4461.758622
4, 2018-07-09 08:44:56,-5874,1527,-2982,-5473,-465,-4841,-65.89,6.02,6762.242897
5, 2018-07-09 08:44:56,-8192,2502,-2238,-5241,1530,-4196,-66.03,5.55,8853.107477
6, 2018-07-09 08:44:56,-6057,1924,-1665,-4854,3652,-3350,-66.2,5.26,6569.722216
7, 2018-07-09 08:44:56,-5599,1758,-2669,-3831,2672,-2879,-66.34,5.03,6446.931518
8, 2018-07-09 08:44:56,-6062,2444,-2682,-2390,859,-2645,-66.36,4.88,7064.991437
9, 2018-07-09 08:44:56,-5752,2742,-1693,-1032,597,-1237,-66.36,4.84,6593.202333
10, 2018-07-09 08:44:56,-7510,1973,2148,-1231,-8664,261,-65.98,4.79,8056.471498
11, 2018-07-09 08:44:56,-8192,563,2692,-740,-26395,1172,-64.67,4.65,8641.336529
12, 2018-07-09 08:44:56,-8192,1623,4795,8041,-3350,739,-64.16,4.95,9629.902284
13, 2018-07-09 08:44:56,-8192,-1918,-388,4692,14294,-6690,-65.2,5.44,8422.477783
14, 2018-07-09 08:44:56,-8192,-174,-4950,4855,32736,-5480,-66.95,5.72,9572.964013
15, 2018-07-09 08:44:56,-8192,-448,-423,-2825,2862,467,-67.28,5.65,8215.138282
16, 2018-07-09 08:44:56,-8192,667,-3060,-4600,-1587,564,-67.26,5.36,8770.253873
17, 2018-07-09 08:44:56,-8192,1382,-3464,-2174,-1343,793,-67.19,5.2,9001.004611
18, 2018-07-09 08:44:56,-8192,622,-1837,-1205,3291,-933,-67.38,5.12,8418.450986
19, 2018-07-09 08:44:56,-5267,1302,-1611,-1542,3628,-851,-67.59,5.04,5659.665538
20, 2018-07-09 08:44:56,-2790,2480,-649,1880,-1005,-644,-67.52,5.13,3788.89179
21, 2018-07-09 08:44:56,-4621,137,-332,3741,-7988,-624,-67.03,5.34,4634.936246
22, 2018-07-09 08:44:56,-7133,-611,-2509,1222,-4010,-522,-66.64,5.46,7586.045808
23, 2018-07-09 08:44:56,-6731,-1054,-935,-190,1498,-1561,-66.69,5.43,6876.881706
24, 2018-07-09 08:44:56,-4064,86,-918,-1093,1847,204,-66.82,5.34,4167.279208
25, 2018-07-09 08:44:56,-4364,-14,-1893,16,264,1405,-66.79,5.31,4756.904561
26, 2018-07-09 08:44:56,-5152,429,-2270,-419,435,1809,-66.75,5.29,5646.24167
27, 2018-07-09 08:44:56,-4976,478,-1529,-411,-572,1393,-66.68,5.26,5227.513845
28, 2018-07-09 08:44:56,-4956,886,-928,-682,-4605,90,-66.29,5.16,5119.386291
29, 2018-07-09 08:44:56,-6769,2504,-2873,-105,-2036,1214,-65.86,5.24,7768.108264
30, 2018-07-09 08:44:56,-8192,1073,-3444,713,2309,2448,-66.03,5.26,8951.051838
31, 2018-07-09 08:44:56,-6941,-175,-948,3500,3274,3370,-66.37,5.54,7007.625133
32, 2018-07-09 08:44:56,-8192,-394,-3102,-1219,2174,822,-66.57,5.55,8768.494968
33, 2018-07-09 08:44:56,-8192,-2839,-1849,-947,1012,-254,-66.72,5.42,8864.963959
34, 2018-07-09 08:44:56,-8192,-204,1734,-1364,-6200,45,-66.53,5.34,8375.991643
35, 2018-07-09 08:44:56,-8192,1426,734,-4206,-15341,270,-65.69,5.11,8347.52035
36, 2018-07-09 08:44:56,-8060,2647,1020,-3780,-2865,-170,-65.28,4.89,8544.624568
37, 2018-07-09 08:44:57,-8192,1851,-1885,-696,11761,990,-65.91,4.85,8607.455489
38, 2018-07-09 08:44:57,-8192,3523,-3442,-271,23286,-2369,-67.34,4.84,9558.648283
39, 2018-07-09 08:44:57,-8192,2782,-4355,-1660,2921,-2212,-67.74,4.77,9685.784067
40, 2018-07-09 08:44:57,-5568,2305,-1039,-2853,2277,202,-67.82,4.62,6115.159033
41, 2018-07-09 08:44:57,-7766,126,-990,-286,-4706,3902,-67.52,4.59,7829.861557
42, 2018-07-09 08:44:57,-8192,899,-2350,-1137,-2903,1670,-67.35,4.54,8569.688734
43, 2018-07-09 08:44:57,-7975,1891,-1859,-1603,-259,793,-67.34,4.45,8404.307645
44, 2018-07-09 08:44:57,-7016,1897,-1205,-1519,730,-619,-67.37,4.35,7367.149381
45, 2018-07-09 08:44:57,-6508,915,-1728,-1754,1062,-1265,-67.4,4.24,6795.386155
46, 2018-07-09 08:44:57,-5889,795,-1111,-1106,73,-1448,-67.38,4.17,6045.383941
47, 2018-07-09 08:44:57,-5609,1251,-1115,-670,-656,-1317,-67.3,4.14,5853.982149
48, 2018-07-09 08:44:57,-5366,1560,-1013,-662,-592,-1269,-67.21,4.11,5679.236304
49, 2018-07-09 08:44:57,-5893,1283,-1597,-460,-1147,-1724,-67.11,4.09,6238.905914
50, 2018-07-09 08:44:57,-6379,974,-1200,-1029,-1039,-2221,-67,4.04,6563.559781
