No, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch,Akselerasi
1, 2018-07-09 08:43:36,-6640,2990,127,1212,-7606,3866,-50.95,16.52,7283.256758
2, 2018-07-09 08:43:37,-7552,626,193,235,-10900,3716,-50.02,16.53,7580.358105
3, 2018-07-09 08:43:37,-6236,173,638,176,-925,1787,-49.63,16.53,6270.938447
4, 2018-07-09 08:43:37,-5500,1029,-175,540,1926,601,-49.76,16.51,5598.166307
5, 2018-07-09 08:43:37,-4694,1458,606,1071,-610,-1164,-49.73,16.6,4952.43738
6, 2018-07-09 08:43:37,-4417,691,267,31,-1707,-2016,-49.6,16.59,4478.689429
7, 2018-07-09 08:43:37,-4852,416,-781,556,1074,-2033,-49.59,16.6,4932.030109
8, 2018-07-09 08:43:37,-6519,1042,-2414,2225,7881,-3139,-49.96,16.68,7029.261768
9, 2018-07-09 08:43:37,-8137,1812,-1701,1440,8167,-4047,-50.63,16.87,8508.085213
10, 2018-07-09 08:43:37,-7624,238,331,-502,-1843,-4658,-50.59,16.9,7634.892337
11, 2018-07-09 08:43:37,-2621,-354,974,-10765,-11183,-8156,-50.01,16.35,2818.445139
12, 2018-07-09 08:43:37,-3093,-880,-1565,-7187,3626,-3507,-49.94,15.79,3576.349256
13, 2018-07-09 08:43:37,-8192,-870,-6368,-9901,2872,-2588,-50.45,15.29,10412.35747
14, 2018-07-09 08:43:37,-8192,4277,833,-4376,-3897,-2118,-50.43,15.09,9278.765112
15, 2018-07-09 08:43:37,-5440,3252,-1252,-7984,-6205,-281,-49.99,14.62,6460.387604
16, 2018-07-09 08:43:37,-5684,2585,-381,-4102,270,-337,-49.9,14.33,6255.816653
17, 2018-07-09 08:43:37,-8192,3455,2294,-2088,-7624,-91,-49.65,14.21,9181.956491
18, 2018-07-09 08:43:37,-8192,4405,3037,1338,-11389,2490,-48.94,14.28,9784.490687
19, 2018-07-09 08:43:37,-8192,-2749,3901,2076,2806,-1201,-49.07,14.35,9480.699658
20, 2018-07-09 08:43:37,-8192,-2528,-3193,3971,17133,71,-49.87,14.54,9148.491515
21, 2018-07-09 08:43:37,-8192,-3952,-15,-2165,20122,-1420,-51.17,14.45,9095.460021
22, 2018-07-09 08:43:37,-5087,307,-7741,-4373,6711,2369,-51.87,13.99,9267.950097
23, 2018-07-09 08:43:37,-8192,5578,-699,-2290,-6961,1693,-51.74,13.9,9935.368589
24, 2018-07-09 08:43:37,-8192,3003,-1916,1311,-2795,744,-51.6,13.92,8932.968655
25, 2018-07-09 08:43:37,-8192,-239,-727,3293,-1706,1451,-51.56,14.09,8227.667592
26, 2018-07-09 08:43:37,-6741,-301,-216,1504,-1014,984,-51.53,14.16,6751.173083
27, 2018-07-09 08:43:37,-4792,-1093,168,-669,-3026,-894,-51.25,14.08,4917.940321
28, 2018-07-09 08:43:37,-5615,-310,-464,-539,-3622,-1182,-51.01,14.01,5642.660809
29, 2018-07-09 08:43:37,-6237,368,-530,-693,-1752,-1013,-50.88,13.95,6270.286517
30, 2018-07-09 08:43:37,-6069,343,-560,-553,-781,-460,-50.81,13.88,6104.425444
31, 2018-07-09 08:43:37,-6528,-323,-1648,76,759,392,-50.83,13.85,6740.5502
32, 2018-07-09 08:43:37,-5280,390,-1024,129,711,716,-50.88,13.81,5392.501831
33, 2018-07-09 08:43:37,-3959,1193,-885,-297,-909,759,-50.8,13.78,4228.49323
34, 2018-07-09 08:43:37,-5293,822,-2293,-1320,-787,-300,-50.61,13.67,5826.60982
35, 2018-07-09 08:43:37,-6975,595,-2636,-968,2114,86,-50.75,13.58,7480.183554
36, 2018-07-09 08:43:38,-6724,202,-1114,-636,-1974,2679,-50.73,13.5,6818.649133
37, 2018-07-09 08:43:38,-6188,995,-1154,4,-5383,2181,-50.43,13.48,6372.839634
38, 2018-07-09 08:43:38,-8108,1067,-2260,-666,-4448,-1409,-50.18,13.45,8484.44182
39, 2018-07-09 08:43:38,-8192,616,-2407,-2160,106,-1264,-50.21,13.31,8560.48883
40, 2018-07-09 08:43:38,-8192,-2536,-266,-2036,2194,368,-50.43,13.13,8579.680414
41, 2018-07-09 08:43:38,-8192,-2702,1756,-2560,-4730,958,-50.35,12.9,8803.022436
42, 2018-07-09 08:43:38,-8192,2385,2075,-5289,-18061,1117,-49.47,12.63,8780.81511
43, 2018-07-09 08:43:38,-8192,3946,5022,-3496,7030,-638,-49.67,12.27,10387.50519
44, 2018-07-09 08:43:38,-7267,3487,-1836,356,13457,885,-50.43,12.29,8266.762002
45, 2018-07-09 08:43:38,-8192,1182,-1421,2490,13255,-2883,-51.39,12.43,8397.930043
46, 2018-07-09 08:43:38,-8192,428,-2380,-6207,3931,-3902,-51.96,12.25,8541.454677
47, 2018-07-09 08:43:38,-8191,1134,-550,-5940,-315,1643,-52.04,11.9,8287.396274
48, 2018-07-09 08:43:38,-8192,1560,-1356,-1391,-161,1603,-52.12,11.73,8448.739551
49, 2018-07-09 08:43:38,-7055,2621,-1524,1247,-3364,3,-52.02,11.81,7678.882861
50, 2018-07-09 08:43:38,-5237,1208,491,-539,-6941,-180,-51.48,11.83,5396.898554
51, 2018-07-09 08:43:38,-5836,-172,588,-2426,-8980,1065,-50.92,11.69,5868.068166
52, 2018-07-09 08:43:38,-7181,-571,-251,-3721,-5258,1003,-50.54,11.44,7208.037389
53, 2018-07-09 08:43:38,-6075,968,-1373,-3010,4227,-1071,-50.71,11.09,6302.997541
54, 2018-07-09 08:43:38,-5597,1890,-1817,-421,10664,-2605,-51.27,11.03,6180.614694
55, 2018-07-09 08:43:38,-4853,1376,-2883,-311,1715,-3081,-51.58,11.03,5810.049397
56, 2018-07-09 08:43:38,-4043,441,-26,-3600,-2796,-3369,-51.43,10.84,4067.06356
57, 2018-07-09 08:43:38,-4627,-495,-1909,-5578,-2268,-2824,-51.23,10.49,5029.754964
58, 2018-07-09 08:43:38,-7262,58,-2317,-6108,-990,-2655,-51.17,10.1,7622.892955
59, 2018-07-09 08:43:38,-8192,2060,-2269,-5856,-2215,-4297,-51.15,9.73,8746.475004
60, 2018-07-09 08:43:38,-8192,3918,-2415,-3650,-3154,-2822,-51.02,9.52,9396.372332
61, 2018-07-09 08:43:38,-7735,2276,-1767,-1916,936,-230,-51.09,9.4,8254.252843
62, 2018-07-09 08:43:38,-5985,1751,-422,-1464,58,1109,-51.16,9.28,6250.144798
63, 2018-07-09 08:43:38,-6931,1362,1499,-2051,-3237,-102,-51.02,9.14,7220.85909
64, 2018-07-09 08:43:38,-8192,1388,3748,-1782,-20262,2331,-50.15,9,9114.98283
65, 2018-07-09 08:43:38,-8192,974,1835,4036,-6929,2215,-49.29,9.08,8451.317353
66, 2018-07-09 08:43:38,-8192,-2691,614,-1722,12252,-3262,-50.21,9.23,8644.49773
67, 2018-07-09 08:43:38,-8192,-1894,-25,-1412,10486,-810,-51.08,8.98,8408.134454
68, 2018-07-09 08:43:38,-8192,2527,-3854,6905,-732,5033,-51.88,9.25,9399.35684
69, 2018-07-09 08:43:38,-8033,4037,-1060,944,-3035,-1737,-51.74,9.46,9052.627132
70, 2018-07-09 08:43:38,-7907,606,-1022,700,3492,-4142,-52.04,9.51,7995.771945
71, 2018-07-09 08:43:38,-7500,-1153,-1661,-1770,496,-2483,-52.26,9.44,7767.7751
72, 2018-07-09 08:43:38,-5745,-675,739,309,-4131,709,-51.96,9.45,5831.532474
73, 2018-07-09 08:43:38,-4549,828,-118,1155,-5514,196,-51.6,9.48,4625.246912
74, 2018-07-09 08:43:38,-4930,2117,-99,2036,-4470,-706,-51.28,9.61,5366.226794
75, 2018-07-09 08:43:38,-6184,1150,-437,2795,-2926,-253,-51.06,9.76,6305.182392
76, 2018-07-09 08:43:39,-4877,385,60,2919,1451,722,-51.08,10.03,4892.540649
77, 2018-07-09 08:43:39,-4076,-148,-291,1976,2513,751,-51.21,10.2,4089.053803
78, 2018-07-09 08:43:39,-6293,-589,-3633,2343,-1923,1176,-51.19,10.27,7290.23038
79, 2018-07-09 08:43:39,-6267,802,-881,-197,-2787,2756,-51.06,10.26,6379.236161
80, 2018-07-09 08:43:39,-5655,1912,188,1980,-3686,3160,-50.81,10.39,5972.446149
81, 2018-07-09 08:43:39,-7533,736,-794,2542,-5143,1145,-50.5,10.53,7610.402158
82, 2018-07-09 08:43:39,-8192,154,-2296,-255,144,2900,-50.66,10.62,8509.065519
83, 2018-07-09 08:43:39,-8165,463,1264,-898,-979,2330,-50.79,10.54,8275.221447
84, 2018-07-09 08:43:39,-8192,-476,-1382,2311,2610,-866,-50.93,10.6,8321.379934
85, 2018-07-09 08:43:39,-8192,360,1719,-2320,276,-1130,-51.15,10.49,8378.151646
86, 2018-07-09 08:43:39,-8192,2058,3090,-5234,-15330,-915,-50.49,10.21,8994.016233
87, 2018-07-09 08:43:39,-8192,2732,2692,383,5450,378,-50.69,10.1,9045.416077
88, 2018-07-09 08:43:39,-8192,3099,-931,4190,19720,2061,-51.8,10.35,8807.918369
89, 2018-07-09 08:43:39,-8192,3150,-1923,-346,10410,-3544,-52.58,10.36,8984.948136
90, 2018-07-09 08:43:39,-7480,3245,-1383,-2606,8894,-2597,-53.23,10.25,8270.012938
91, 2018-07-09 08:43:39,-7570,355,-469,409,-1649,2865,-53.31,10.25,7592.818054
92, 2018-07-09 08:43:39,-7997,263,-895,-1793,-3466,422,-53.04,10.12,8051.223696
93, 2018-07-09 08:43:39,-6675,922,-76,-2812,-3369,171,-52.85,9.95,6738.804419
94, 2018-07-09 08:43:39,-5140,1146,170,-2734,-4012,1162,-52.46,9.68,5268.948282
95, 2018-07-09 08:43:39,-5327,487,-217,-3738,-791,-147,-52.25,9.36,5353.614387
96, 2018-07-09 08:43:39,-5388,875,-662,-4891,683,-420,-52.25,8.93,5498.582817
97, 2018-07-09 08:43:39,-4905,1086,-1463,-3662,4092,282,-52.41,8.68,5232.474558
98, 2018-07-09 08:43:39,-4917,1510,-2100,-2244,3243,320,-52.68,8.55,5555.806782
99, 2018-07-09 08:43:39,-5855,2297,-293,-515,-4056,-1842,-52.51,8.56,6296.275328
100, 2018-07-09 08:43:39,-4974,1149,384,-3255,-7270,-2523,-52.05,8.42,5119.407485
101, 2018-07-09 08:43:39,-5442,-388,-1256,-5345,-1642,-2680,-51.81,8.08,5598.521591
102, 2018-07-09 08:43:39,-6797,563,-2893,-1497,10156,-2610,-52.26,7.94,7408.483448
103, 2018-07-09 08:43:39,-5796,1623,-1889,-556,-2813,-1044,-52.23,7.8,6308.41232
104, 2018-07-09 08:43:39,-5499,1239,536,-2433,-6816,-1234,-51.84,7.68,5662.280283
105, 2018-07-09 08:43:39,-7598,1948,1884,-7108,-10431,233,-51.29,7.33,8066.8311
106, 2018-07-09 08:43:39,-8192,3658,2862,-5574,-15100,2180,-50.42,6.94,9417.052193
107, 2018-07-09 08:43:39,-8192,-900,1794,998,10563,-438,-50.8,7.15,8434.293094
108, 2018-07-09 08:43:39,-8192,918,-4799,-610,7866,1360,-51.32,7.06,9538.447935
109, 2018-07-09 08:43:39,-8192,37,-2025,6435,26188,-1649,-52.89,7.42,8438.652618
110, 2018-07-09 08:43:39,-7733,4335,-3249,-2417,5235,189,-53.98,7.3,9441.796174
111, 2018-07-09 08:43:39,-8192,3079,-4115,-1760,-3459,-1430,-53.95,7.2,9670.694391
112, 2018-07-09 08:43:39,-8192,1439,-2734,3319,-4610,-200,-53.72,7.35,8755.246484
113, 2018-07-09 08:43:39,-8192,535,-706,4616,-3357,-809,-53.59,7.62,8239.752727
114, 2018-07-09 08:43:39,-5442,629,-674,3053,-3561,-2220,-53.28,7.97,5519.536303
115, 2018-07-09 08:43:39,-3689,874,-488,2149,-4551,-2398,-52.98,8.1,3822.399901
116, 2018-07-09 08:43:40,-4343,372,-380,3491,-5267,-1345,-52.61,8.28,4375.435178
117, 2018-07-09 08:43:40,-4839,211,62,3179,-2978,-232,-52.37,8.47,4843.994839
118, 2018-07-09 08:43:40,-3209,542,-396,2541,369,181,-52.22,8.69,3278.454056
119, 2018-07-09 08:43:40,-3710,270,-1510,3577,-3145,686,-51.93,8.89,4014.610816
120, 2018-07-09 08:43:40,-5725,-175,-571,2157,-2822,626,-51.61,9.12,5756.065583
121, 2018-07-09 08:43:40,-8192,174,-3027,152,1301,2265,-51.63,9.23,8735.094104
122, 2018-07-09 08:43:40,-8192,-854,-682,-1667,181,3525,-51.75,9.11,8264.581296
123, 2018-07-09 08:43:40,-6793,-440,-664,-2954,64,552,-51.78,8.78,6839.542748
124, 2018-07-09 08:43:40,-8192,410,491,-710,-4159,-1147,-51.66,8.62,8216.936473
125, 2018-07-09 08:43:40,-8192,2819,2516,-1522,-18109,255,-50.52,8.59,9021.412362
126, 2018-07-09 08:43:40,-8192,3873,5335,-422,7468,341,-50.86,8.52,10515.28497
127, 2018-07-09 08:43:40,-8192,3079,-895,294,18526,885,-52.48,8.57,8797.166021
128, 2018-07-09 08:43:40,-8192,1559,-2790,-3285,20556,-4662,-53.7,8.41,8793.375063
129, 2018-07-09 08:43:40,-8192,2358,-5453,-2917,3433,-2855,-54.37,8.09,10119.49786
130, 2018-07-09 08:43:40,-8192,2399,-1656,-404,-1158,854,-54.41,8.08,8695.194132
131, 2018-07-09 08:43:40,-6948,1551,-1034,540,-5155,2123,-54.17,8.1,7193.709822
132, 2018-07-09 08:43:40,-4810,450,249,-2565,-7893,476,-53.44,7.99,4837.416769
133, 2018-07-09 08:43:40,-4273,518,574,-3954,-7093,73,-52.97,7.74,4342.387477
134, 2018-07-09 08:43:40,-6432,920,-924,-4388,-3408,86,-52.68,7.46,6562.834753
135, 2018-07-09 08:43:40,-6142,1173,-865,-2203,2127,-1303,-52.78,7.18,6312.552416
136, 2018-07-09 08:43:40,-4209,1693,-875,-227,4080,-1503,-52.95,7.16,4620.341438
137, 2018-07-09 08:43:40,-3468,500,-2279,-3328,3335,-3421,-53.21,7.05,4179.816384
138, 2018-07-09 08:43:40,-5492,644,-2374,-2674,832,-3414,-53.23,6.92,6017.696902
139, 2018-07-09 08:43:40,-5809,2005,-900,-3433,-1406,-3180,-53.17,6.72,6210.837786
140, 2018-07-09 08:43:40,-4893,2406,-1038,-4058,-2151,-1481,-52.98,6.51,5550.471061
141, 2018-07-09 08:43:40,-5379,1491,-3075,-2209,-286,-1458,-52.97,6.36,6372.781732
142, 2018-07-09 08:43:40,-6988,2252,-2966,1961,-2203,-620,-52.84,6.47,7918.383926
143, 2018-07-09 08:43:40,-7269,685,158,1046,-3772,-1200,-52.67,6.56,7302.913802
144, 2018-07-09 08:43:40,-6774,1439,1992,-1066,-5931,2243,-52.25,6.51,7205.960103
145, 2018-07-09 08:43:40,-8192,1788,2064,-2894,-17863,5127,-51.36,6.36,8635.155123
146, 2018-07-09 08:43:40,-8192,1535,3551,2170,1298,1693,-51.29,6.5,9059.508265
147, 2018-07-09 08:43:40,-8192,-515,-324,1342,6643,705,-51.86,6.51,8214.5642
148, 2018-07-09 08:43:40,-8192,-659,-2575,7145,19873,-1128,-53.02,6.83,8612.419521
149, 2018-07-09 08:43:40,-8192,345,-1194,3102,17921,-2152,-54.18,7.07,8285.742272
150, 2018-07-09 08:43:40,-8192,2916,-4521,-3872,5950,-3281,-54.67,6.9,9800.579626
151, 2018-07-09 08:43:41,-8192,1155,-3937,-3218,-2519,-563,-54.67,6.67,9162.033508
152, 2018-07-09 08:43:41,-8192,1198,-2074,2800,-4714,2551,-54.48,6.77,8534.960105
153, 2018-07-09 08:43:41,-8192,1236,-941,2900,-4558,-1139,-54.12,7.09,8337.987827
154, 2018-07-09 08:43:41,-5319,2544,-851,2305,-4006,-3550,-53.87,7.24,5957.17198
155, 2018-07-09 08:43:41,-4217,1106,238,2833,-5033,-3124,-53.52,7.43,4366.116009
156, 2018-07-09 08:43:41,-5282,-1173,-456,2280,-6543,-1939,-53.09,7.54,5429.860864
157, 2018-07-09 08:43:41,-6018,-1394,210,3234,-993,-38,-52.96,7.7,6180.910936
158, 2018-07-09 08:43:41,-3773,289,160,1514,-557,288,-52.86,7.81,3787.433168
159, 2018-07-09 08:43:41,-3264,785,-948,1571,1699,-374,-52.82,7.98,3488.35563
160, 2018-07-09 08:43:41,-4468,-748,-1834,709,-2781,1050,-52.55,7.96,4887.339153
161, 2018-07-09 08:43:41,-4842,-1117,97,-1146,-2302,-29,-52.38,7.88,4970.1169
162, 2018-07-09 08:43:41,-7313,-338,-1964,-5687,-6398,1180,-51.88,7.49,7579.677368
163, 2018-07-09 08:43:41,-8192,-519,-3019,-5489,563,2523,-51.92,7.1,8746.004002
164, 2018-07-09 08:43:41,-7588,-53,76,-1960,-1242,3565,-51.91,6.92,7588.565675
165, 2018-07-09 08:43:41,-7510,2132,1580,-3117,-9382,1015,-51.49,6.79,7965.043879
166, 2018-07-09 08:43:41,-8192,833,931,-226,-10210,-2821,-50.83,6.74,8286.707066
167, 2018-07-09 08:43:41,-8192,918,1834,-4893,7960,-4794,-51.49,6.42,8444.829424
168, 2018-07-09 08:43:41,-8192,1196,-1456,-3374,14224,957,-52.36,6.21,8405.90364
169, 2018-07-09 08:43:41,-8192,3824,822,-2087,9682,1832,-53.21,6.18,9077.858999
170, 2018-07-09 08:43:41,-8192,3467,-3365,-8223,12598,-4563,-53.87,5.77,9510.634995
171, 2018-07-09 08:43:41,-6992,2174,-4818,-5202,3755,-1186,-54.46,5.39,8765.127723
172, 2018-07-09 08:43:41,-8192,1977,-1089,-68,-2753,2646,-54.43,5.38,8497.253321
173, 2018-07-09 08:43:41,-8192,1929,-683,-586,-3114,1889,-54.31,5.37,8443.719204
174, 2018-07-09 08:43:41,-7007,1704,-847,-537,-2329,1788,-54.17,5.35,7260.790177
175, 2018-07-09 08:43:41,-7214,1000,-1359,243,-1584,-5,-54.02,5.36,7408.68929
176, 2018-07-09 08:43:41,-6330,1006,-574,-578,-2460,-1256,-53.88,5.34,6435.092229
177, 2018-07-09 08:43:41,-6533,126,-987,-60,-3693,-1003,-53.66,5.31,6608.338218
178, 2018-07-09 08:43:41,-6220,1122,-716,275,-1959,21,-53.42,5.35,6360.812841
179, 2018-07-09 08:43:41,-5259,2174,-701,831,-1285,99,-53.31,5.41,5733.651367
180, 2018-07-09 08:43:41,-4639,2369,-276,814,-1654,-1231,-53.19,5.48,5216.191906
181, 2018-07-09 08:43:41,-4117,2134,-935,380,-1311,-1369,-53.05,5.53,4730.525341
182, 2018-07-09 08:43:41,-5762,1652,-2097,1835,565,-66,-52.99,5.66,6350.366682
183, 2018-07-09 08:43:41,-4918,1360,-1025,1262,-2310,-410,-52.78,5.85,5204.512369
184, 2018-07-09 08:43:41,-4390,-271,-1428,-475,-1810,-1693,-52.63,5.83,4624.362118
185, 2018-07-09 08:43:41,-5224,-298,-3360,1827,-3759,-986,-52.41,5.87,6218.406548
186, 2018-07-09 08:43:41,-7102,2062,-125,1603,-4212,105,-52.19,5.99,7396.341866
187, 2018-07-09 08:43:41,-8192,3667,3801,-2073,-18413,2989,-51.37,5.96,9746.9664
188, 2018-07-09 08:43:41,-8192,2550,4798,2934,-14856,5970,-50.08,6.1,9830.166224
189, 2018-07-09 08:43:41,-8192,-593,1494,3709,16148,-1456,-50.99,6.75,8348.206334
190, 2018-07-09 08:43:41,-8192,-1997,-3132,2387,11653,-524,-51.78,6.82,8994.792771
191, 2018-07-09 08:43:41,-8192,-1486,-1664,5153,28047,51,-53.46,7.08,8490.344869
