No, waktu, accx, accY, accZ
172,  08:59:07,-4414,1093,3076
173,  08:59:07,-5982,1742,4587
174,  08:59:07,-8192,2508,646
175,  08:59:07,-8121,2358,-897
176,  08:59:07,-6516,796,250
177,  08:59:07,-4414,-237,-500
178,  08:59:07,-3659,220,891
179,  08:59:07,-3509,1248,2000
180,  08:59:07,-4563,944,2532
181,  08:59:07,-6151,1382,644
182,  08:59:07,-8192,1785,-1930
183,  08:59:07,-8192,2341,-792
184,  08:59:07,-8085,2855,-132
185,  08:59:07,-6761,2883,-80
186,  08:59:07,-6286,2476,45
187,  08:59:07,-7552,1941,121
188,  08:59:07,-8192,1273,736
