No, waktu, accx, accY, accZ,Akselerasi
1, 2018-07-09 09:16:48,-7470,1410,-2156,7901.729937
2, 2018-07-09 09:16:48,-7423,1640,-1997,7859.932442
3, 2018-07-09 09:16:48,-7515,1551,-2069,7947.426439
4, 2018-07-09 09:16:48,-7657,1307,-2073,8039.603659
5, 2018-07-09 09:16:48,-7638,1074,-1674,7892.70524
6, 2018-07-09 09:16:48,-7847,639,-1642,8042.381115
7, 2018-07-09 09:16:48,-7780,796,-1511,7965.245571
8, 2018-07-09 09:16:48,-7649,902,-1665,7879.913071
9, 2018-07-09 09:16:48,-7669,1124,-1970,7997.364378
10, 2018-07-09 09:16:48,-7540,1529,-1994,7947.671168
11, 2018-07-09 09:16:48,-7451,1538,-2163,7909.577359
12, 2018-07-09 09:16:48,-7454,1410,-1978,7839.815049
13, 2018-07-09 09:16:48,-7620,1192,-1967,7959.544773
14, 2018-07-09 09:16:48,-7611,1249,-1850,7931.571219
15, 2018-07-09 09:16:48,-7538,1323,-2035,7919.153869
16, 2018-07-09 09:16:48,-7380,1244,-2300,7829.555287
17, 2018-07-09 09:16:48,-7460,1277,-2212,7885.129866
18, 2018-07-09 09:16:48,-7781,1226,-1997,8126.195051
19, 2018-07-09 09:16:48,-7586,1165,-1945,7917.553031
20, 2018-07-09 09:16:48,-7542,1107,-1980,7875.761106
21, 2018-07-09 09:16:48,-7545,1049,-2350,7971.820746
22, 2018-07-09 09:16:48,-7637,1081,-2420,8083.856134
23, 2018-07-09 09:16:48,-7522,1133,-1730,7801.094346
24, 2018-07-09 09:16:48,-7380,1289,-2493,7895.629804
25, 2018-07-09 09:16:48,-7610,1312,-2401,8086.91814
26, 2018-07-09 09:16:48,-7726,1448,-1853,8075.97604
27, 2018-07-09 09:16:48,-7447,1357,-1672,7752.0863
28, 2018-07-09 09:16:48,-7494,1305,-1885,7836.854343
29, 2018-07-09 09:16:48,-7461,1078,-2029,7806.756433
30, 2018-07-09 09:16:48,-7536,864,-2384,7951.179032
31, 2018-07-09 09:16:48,-7628,857,-2366,8032.358869
32, 2018-07-09 09:16:48,-7515,737,-2601,7986.463235
33, 2018-07-09 09:16:48,-7474,912,-2367,7892.725068
34, 2018-07-09 09:16:49,-7520,1158,-2210,7923.096869
35, 2018-07-09 09:16:49,-7394,1336,-2263,7847.120555
36, 2018-07-09 09:16:49,-7221,1363,-2572,7785.614555
37, 2018-07-09 09:16:49,-6948,1120,-2827,7584.262192
38, 2018-07-09 09:16:49,-7194,977,-2797,7780.191129
39, 2018-07-09 09:16:49,-8040,1581,-1250,8288.767158
40, 2018-07-09 09:16:49,-8000,1495,-1605,8295.242612
41, 2018-07-09 09:16:49,-7735,682,-1038,7834.07895
42, 2018-07-09 09:16:49,-7661,845,-1853,7927.07733
43, 2018-07-09 09:16:49,-7935,869,-2207,8281.92218
44, 2018-07-09 09:16:49,-7732,950,-2060,8057.910647
45, 2018-07-09 09:16:49,-7579,1120,-1921,7898.473397
46, 2018-07-09 09:16:49,-7462,1327,-2034,7847.262516
47, 2018-07-09 09:16:49,-7509,1415,-2010,7901.101569
48, 2018-07-09 09:16:49,-7493,1484,-2111,7924.873879
49, 2018-07-09 09:16:49,-7444,1389,-2178,7879.475934
50, 2018-07-09 09:16:49,-7626,1242,-2165,8024.067859
51, 2018-07-09 09:16:49,-7606,1219,-1954,7947.03171
52, 2018-07-09 09:16:49,-7557,1174,-2105,7932.058371
53, 2018-07-09 09:16:49,-7464,1072,-2231,7863.704025
54, 2018-07-09 09:16:49,-7561,1138,-2209,7958.859592
55, 2018-07-09 09:16:49,-7555,1192,-2079,7925.978173
56, 2018-07-09 09:16:49,-7484,1103,-2230,7886.682763
57, 2018-07-09 09:16:49,-7560,1086,-2184,7943.730358
58, 2018-07-09 09:16:49,-7582,1133,-2039,7932.712903
59, 2018-07-09 09:16:49,-7543,1194,-2117,7924.908454
60, 2018-07-09 09:16:49,-7523,1175,-2131,7906.789171
61, 2018-07-09 09:16:49,-7542,1222,-1956,7886.760045
62, 2018-07-09 09:16:49,-7586,1188,-2114,7964.153188
63, 2018-07-09 09:16:49,-7551,1232,-2108,7935.936555
64, 2018-07-09 09:16:49,-7582,1191,-2231,7992.657005
65, 2018-07-09 09:16:49,-7472,1189,-2174,7872.152247
66, 2018-07-09 09:16:49,-7488,1275,-2148,7893.647636
67, 2018-07-09 09:16:49,-7548,1264,-2103,7936.78833
68, 2018-07-09 09:16:49,-7491,1262,-2081,7876.438662
69, 2018-07-09 09:16:50,-7585,1143,-2103,7953.696185
70, 2018-07-09 09:16:50,-7620,1052,-2060,7963.33498
71, 2018-07-09 09:16:50,-7542,1091,-2066,7895.593771
72, 2018-07-09 09:16:50,-7545,1121,-1990,7883.131738
73, 2018-07-09 09:16:50,-7650,1004,-2083,7991.833644
74, 2018-07-09 09:16:50,-7570,1026,-1910,7874.368292
75, 2018-07-09 09:16:50,-7608,1133,-1895,7921.892324
76, 2018-07-09 09:16:50,-7543,1231,-2007,7901.914895
77, 2018-07-09 09:16:50,-7561,1270,-1985,7919.712495
78, 2018-07-09 09:16:50,-7659,1209,-1955,7996.498421
79, 2018-07-09 09:16:50,-7537,1210,-1998,7890.657324
80, 2018-07-09 09:16:50,-7507,1276,-2015,7876.766469
81, 2018-07-09 09:16:50,-7533,1275,-2030,7905.227005
82, 2018-07-09 09:16:50,-7585,1225,-1995,7938.064941
83, 2018-07-09 09:16:50,-7626,1130,-2040,7974.608204
84, 2018-07-09 09:16:50,-7600,1200,-1936,7933.983615
85, 2018-07-09 09:16:50,-7578,1212,-2009,7932.913021
86, 2018-07-09 09:16:50,-7573,1205,-2069,7942.48796
87, 2018-07-09 09:16:50,-7570,1193,-1967,7911.841631
88, 2018-07-09 09:16:50,-7559,1141,-1956,7890.899695
89, 2018-07-09 09:16:50,-7567,1081,-1949,7888.387097
90, 2018-07-09 09:16:50,-7647,1045,-1933,7956.451659
91, 2018-07-09 09:16:50,-7581,1059,-1976,7905.543498
92, 2018-07-09 09:16:50,-7593,948,-2022,7914.596452
93, 2018-07-09 09:16:50,-7485,1037,-2047,7828.844295
94, 2018-07-09 09:16:50,-7540,1300,-2136,7943.808658
95, 2018-07-09 09:16:50,-7693,1476,-1832,8044.690734
96, 2018-07-09 09:16:50,-7671,1491,-1763,8010.960679
97, 2018-07-09 09:16:50,-7530,1407,-1796,7868.047089
98, 2018-07-09 09:16:50,-7558,1158,-1844,7865.409335
99, 2018-07-09 09:16:50,-7727,977,-1964,8032.331791
100, 2018-07-09 09:16:50,-7686,972,-2027,8008.00281
101, 2018-07-09 09:16:50,-7580,1004,-1975,7897.153981
102, 2018-07-09 09:16:50,-7638,1012,-1999,7959.848554
103, 2018-07-09 09:16:50,-7637,1005,-1952,7946.326069
104, 2018-07-09 09:16:50,-7625,968,-1873,7911.117367
105, 2018-07-09 09:16:51,-7621,971,-1853,7902.916614
106, 2018-07-09 09:16:51,-7636,973,-1865,7920.445063
107, 2018-07-09 09:16:51,-7647,953,-1888,7934.063398
108, 2018-07-09 09:16:51,-7605,966,-1880,7893.261747
109, 2018-07-09 09:16:51,-7668,981,-1998,7984.521839
110, 2018-07-09 09:16:51,-7605,934,-1873,7887.744291
111, 2018-07-09 09:16:51,-7699,866,-1834,7961.665215
112, 2018-07-09 09:16:51,-7579,846,-1865,7850.807729
113, 2018-07-09 09:16:51,-7672,893,-1895,7952.864767
114, 2018-07-09 09:16:51,-7625,894,-1921,7913.918246
115, 2018-07-09 09:16:51,-7717,937,-1956,8015.983658
