No, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch,Akselerasi
1, 2018-07-09 08:57:10,-7044,1452,2096,5082,341,1810,-10.58,0.3,7491.292011
2, 2018-07-09 08:57:10,-7081,857,1845,1428,-1939,165,-10.61,0.56,7367.430692
3, 2018-07-09 08:57:10,-7914,359,451,1346,-2826,-721,-10.53,0.65,7934.965532
4, 2018-07-09 08:57:10,-8192,950,-267,3505,-3483,-151,-10.49,0.85,8251.221304
5, 2018-07-09 08:57:10,-8192,2260,-1611,4767,-3773,-311,-10.35,1.29,8649.380614
6, 2018-07-09 08:57:10,-8192,2397,-352,4472,100,-2155,-10.48,1.61,8542.738261
7, 2018-07-09 08:57:10,-7686,1533,259,3839,-1244,-3975,-10.65,2,7841.668572
8, 2018-07-09 08:57:10,-7384,988,-591,3866,-2538,-4082,-10.61,2.24,7473.21089
9, 2018-07-09 08:57:10,-7316,761,-1080,3519,-2479,-3463,-10.56,2.48,7434.337697
10, 2018-07-09 08:57:10,-8084,458,-1336,3291,-973,-3420,-10.6,2.67,8206.443566
11, 2018-07-09 08:57:10,-8192,743,-1133,3120,-1123,-2903,-10.78,2.99,8303.288626
12, 2018-07-09 08:57:10,-4875,1489,1365,-8150,-6382,3113,-10.47,2.11,5276.928178
13, 2018-07-09 08:57:10,-6552,2561,637,-5805,-2846,1621,-10.31,1.75,7063.51145
14, 2018-07-09 08:57:10,-7163,2379,-1163,-4637,4281,443,-10.64,1.37,7636.80424
15, 2018-07-09 08:57:10,-6974,1042,-480,-4431,5624,851,-11.09,1.11,7067.73231
16, 2018-07-09 08:57:10,-6183,1112,-181,-4137,3193,255,-11.39,0.87,6284.8066
17, 2018-07-09 08:57:10,-5999,2378,1028,-5235,-850,523,-11.53,0.47,6534.498374
18, 2018-07-09 08:57:10,-7998,2971,102,-4364,1581,419,-11.76,0.07,8532.599194
19, 2018-07-09 08:57:10,-8192,2871,-1213,-2992,2366,-893,-12.03,-0.09,8764.865886
20, 2018-07-09 08:57:10,-7632,2465,-1116,-2195,5443,-1095,-12.47,-0.19,8097.475224
21, 2018-07-09 08:57:10,-6580,2096,-1574,-2037,6615,-575,-12.94,-0.28,7082.873146
22, 2018-07-09 08:57:10,-8192,2925,-2585,108,8332,89,-13.58,-0.25,9074.509023
23, 2018-07-09 08:57:10,-8192,2532,-2841,-694,3393,-347,-13.95,-0.27,9032.783015
24, 2018-07-09 08:57:10,-8192,1672,-499,716,-2022,-239,-14.07,-0.17,8375.765577
25, 2018-07-09 08:57:10,-8192,4014,-16,-150,-6526,2842,-13.85,-0.1,9122.571787
26, 2018-07-09 08:57:10,-8192,3113,-1976,-2549,550,1183,-13.95,-0.24,8983.552137
27, 2018-07-09 08:57:10,-8192,3541,1179,2390,-1060,-560,-14.13,-0.08,9002.087869
28, 2018-07-09 08:57:10,-7904,1500,2256,-2891,-5614,-1934,-13.84,-0.16,8355.402564
29, 2018-07-09 08:57:10,-5466,2006,1345,-2375,1508,-2957,-13.94,-0.26,5975.802624
30, 2018-07-09 08:57:10,-5768,1975,881,-880,-2183,-3263,-13.94,-0.31,6160.08198
31, 2018-07-09 08:57:10,-7353,2215,343,144,-4758,-4320,-13.74,-0.29,7687.033433
32, 2018-07-09 08:57:10,-8192,2372,-1729,3718,1427,-4194,-13.86,-0.09,8701.993392
33, 2018-07-09 08:57:10,-7982,1598,-516,5812,2914,-3104,-14.18,0.28,8156.726304
34, 2018-07-09 08:57:10,-6513,881,-608,4301,1753,-2959,-14.39,0.57,6600.378322
35, 2018-07-09 08:57:10,-4985,-264,-190,2141,2825,-3484,-14.7,0.84,4995.600164
36, 2018-07-09 08:57:10,-4376,-224,928,-185,-2923,-3850,-14.67,0.85,4478.921299
37, 2018-07-09 08:57:10,-5033,1425,-959,2111,-2609,-2312,-14.5,0.94,5318.025479
38, 2018-07-09 08:57:10,-5813,2422,-211,1633,-368,-1621,-14.6,1.16,6300.918504
39, 2018-07-09 08:57:11,-7372,1704,-528,3968,3244,-1822,-14.85,1.42,7584.773167
40, 2018-07-09 08:57:11,-7412,-116,-733,2179,4537,-2220,-15.2,1.58,7449.059605
41, 2018-07-09 08:57:11,-7886,-514,-877,2046,6059,-2437,-15.67,1.69,7951.246506
42, 2018-07-09 08:57:11,-8192,-721,-287,1581,5012,-2185,-16.16,1.79,8228.673891
43, 2018-07-09 08:57:11,-8192,1385,-728,409,-1858,-1911,-16.41,1.85,8340.088309
44, 2018-07-09 08:57:11,-8192,1288,-2323,621,-1786,-2383,-16.44,1.92,8611.860252
45, 2018-07-09 08:57:11,-8192,1815,-1494,325,452,-1864,-16.58,1.97,8522.624302
46, 2018-07-09 08:57:11,-8192,-649,87,-3417,727,826,-16.88,1.74,8218.128376
47, 2018-07-09 08:57:11,-8192,-3049,559,-897,-2824,-2261,-16.93,1.58,8758.866708
48, 2018-07-09 08:57:11,-8192,1993,1089,-5751,-4441,1275,-16.85,1.34,8500.990178
49, 2018-07-09 08:57:11,-6141,2528,652,-8755,-4287,1385,-16.59,0.8,6672.913082
50, 2018-07-09 08:57:11,-5602,967,3082,-1671,47,2752,-16.77,0.62,6466.545987
51, 2018-07-09 08:57:11,-7155,44,1899,-1762,-4753,1434,-16.56,0.47,7402.848236
52, 2018-07-09 08:57:11,-8192,1718,-1422,-2258,3494,1213,-16.78,0.36,8490.139693
53, 2018-07-09 08:57:11,-8192,2185,-436,4406,-14592,-1075,-15.39,1.08,8489.592746
54, 2018-07-09 08:57:11,-8192,-3155,-5176,4469,-6384,-2763,-14.8,1.46,10190.87165
55, 2018-07-09 08:57:11,-8192,-511,-1557,-797,-1859,-4179,-14.83,1.48,8354.294345
56, 2018-07-09 08:57:11,-7724,-886,-1215,-1572,-1360,-3136,-14.86,1.34,7869.014996
57, 2018-07-09 08:57:11,-6457,-253,995,-3304,-3856,-761,-14.77,1.16,6538.110048
58, 2018-07-09 08:57:11,-5164,1574,761,-4165,-5815,1455,-14.47,0.94,5451.925623
59, 2018-07-09 08:57:11,-5536,1107,402,-5705,-5650,-896,-13.99,0.45,5659.889487
60, 2018-07-09 08:57:11,-6091,1127,-359,-4498,-5445,-964,-13.71,0.18,6204.77969
61, 2018-07-09 08:57:11,-6668,1854,-591,-2974,-5488,123,-13.46,0,6946.137128
