No, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch,Akselerasi
1, 2018-07-09 08:57:26,-4621,18,2116,2266,-5916,4571,-69.5,-19.7,5082.4621
2, 2018-07-09 08:57:26,-4393,-1956,4051,1594,6144,1741,-69.58,-19.55,6287.685266
3, 2018-07-09 08:57:26,-5575,-1957,3898,-1143,429,-71,-69.66,-19.58,7078.479922
4, 2018-07-09 08:57:26,-8120,803,-178,-3360,-604,1575,-69.62,-19.76,8161.549669
5, 2018-07-09 08:57:26,-8192,4586,-1874,-2989,2016,-919,-69.72,-19.82,9573.512208
6, 2018-07-09 08:57:26,-8192,4731,-2589,-1884,7694,-1922,-70.17,-19.85,9807.861439
7, 2018-07-09 08:57:26,-7056,2580,-3094,3206,10204,-1661,-70.72,-19.64,8125.045969
8, 2018-07-09 08:57:26,-6647,1448,-3159,5229,2903,1369,-71,-19.33,7500.572911
9, 2018-07-09 08:57:26,-8192,87,460,55,-2207,-166,-70.97,-19.09,8205.36611
10, 2018-07-09 08:57:26,-8192,969,613,-5046,-7238,-1295,-70.62,-19.27,8271.855535
11, 2018-07-09 08:57:26,-8192,3487,-1982,-5850,-9167,1983,-70.07,-19.56,9121.203703
12, 2018-07-09 08:57:26,-8192,3152,26,-3171,-854,1307,-69.99,-19.7,8777.507847
13, 2018-07-09 08:57:26,-8192,3202,2681,839,1991,-2015,-70.18,-19.62,9195.076346
14, 2018-07-09 08:57:26,-8192,2958,1141,-430,-109,-2617,-70.22,-19.52,8784.105475
15, 2018-07-09 08:57:26,-6595,1504,830,-2021,-892,-2723,-70.15,-19.57,6815.052531
16, 2018-07-09 08:57:26,-6571,-150,1644,-1784,-3215,-2470,-69.95,-19.64,6775.195717
17, 2018-07-09 08:57:26,-7152,-300,2183,-1202,-3940,-3704,-69.69,-19.69,7483.755274
18, 2018-07-09 08:57:26,-7436,916,608,-1084,-2656,-4070,-69.48,-19.7,7516.835504
19, 2018-07-09 08:57:26,-7254,2135,-981,1610,328,-3402,-69.45,-19.58,7625.031279
20, 2018-07-09 08:57:26,-7995,2638,-1037,6177,5342,-1978,-69.74,-19.18,8482.596183
21, 2018-07-09 08:57:26,-7016,1561,-148,4247,2100,-2814,-69.89,-18.82,7189.080678
22, 2018-07-09 08:57:26,-5943,52,329,3211,2394,-3439,-69.99,-18.57,5952.326772
23, 2018-07-09 08:57:26,-5056,-839,477,2194,1746,-3415,-70.04,-18.4,5147.289189
24, 2018-07-09 08:57:26,-5021,433,178,2068,1535,-2330,-70.1,-18.18,5042.778401
25, 2018-07-09 08:57:26,-5786,1087,312,3153,856,-1988,-70.12,-17.95,5895.482084
26, 2018-07-09 08:57:26,-5061,1185,-1077,700,-5792,-1137,-69.66,-17.91,5308.283621
27, 2018-07-09 08:57:26,-6820,1066,182,1907,313,-985,-69.63,-17.69,6905.206731
28, 2018-07-09 08:57:26,-7527,-375,-646,-199,2111,-722,-69.71,-17.65,7563.97184
29, 2018-07-09 08:57:26,-8006,-348,-1377,-1562,6628,-820,-70.05,-17.7,8131.006641
30, 2018-07-09 08:57:26,-8192,-334,-1711,-4747,5087,-471,-70.53,-17.87,8375.436765
31, 2018-07-09 08:57:26,-8192,143,-640,-3298,1191,465,-70.62,-18.01,8218.206191
32, 2018-07-09 08:57:26,-8192,506,-1917,-3020,-201,-87,-70.66,-18.16,8428.510485
33, 2018-07-09 08:57:26,-8192,866,-1972,-2596,412,-847,-70.73,-18.28,8470.39574
34, 2018-07-09 08:57:26,-8192,1257,-1158,-4627,-1535,-1346,-70.7,-18.48,8368.385567
35, 2018-07-09 08:57:26,-8192,809,593,-1818,-4601,-1576,-70.57,-18.56,8253.180841
36, 2018-07-09 08:57:26,-8192,906,-1234,-1769,-11705,-4392,-69.9,-18.62,8333.814013
37, 2018-07-09 08:57:26,-8192,284,2406,-3344,-500,-2786,-69.89,-18.73,8542.737032
38, 2018-07-09 08:57:26,-8192,-511,1178,-4070,4927,135,-70.17,-18.97,8292.024421
