No, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch,Akselerasi
1, 2018-07-10 08:18:34,-8192,3017,1257,510,-3092,1172,-47.94,8.95,8819.932086
2, 2018-07-10 08:19:25,-8192,1458,320,3929,-1512,-153,-22.52,-0.71,8326.885852
3, 2018-07-10 08:19:25,-8192,-432,2896,2734,-6529,-174,-22.32,-0.5,8699.55769
4, 2018-07-10 08:19:25,-8192,-12,-185,1852,-9322,-1583,-21.88,-0.38,8194.097449
5, 2018-07-10 08:19:25,-8192,496,-1753,432,-4986,-2777,-21.64,-0.34,8392.132566
6, 2018-07-10 08:19:25,-8192,59,1790,618,-6437,-1464,-21.48,-0.3,8385.490147
7, 2018-07-10 08:19:25,-8192,621,2348,906,-3585,799,-21.4,-0.25,8544.449017
8, 2018-07-10 08:19:25,-8180,1635,2309,1848,-2393,2855,-21.36,-0.13,8655.466827
9, 2018-07-10 08:19:25,-7077,2639,4070,3376,-1343,3878,-21.35,0.2,8579.810604
10, 2018-07-10 08:19:25,-7180,2334,4799,3905,-1655,3642,-21.33,0.48,8945.968757
11, 2018-07-10 08:19:25,-7326,1554,2816,2858,-226,2180,-21.41,0.78,8000.940445
12, 2018-07-10 08:19:26,-6520,1290,1617,3081,3101,1703,-21.63,0.99,6840.262349
13, 2018-07-10 08:19:26,-5498,1020,1576,2884,4971,1551,-21.96,1.18,5809.662641
14, 2018-07-10 08:19:26,-4572,1476,2507,1034,3385,1610,-22.4,1.36,5419.115149
15, 2018-07-10 08:19:26,-5093,1403,2137,-162,-1191,2117,-22.44,1.39,5698.581139
16, 2018-07-10 08:19:26,-5983,1404,1528,-6,-1685,2453,-22.38,1.4,6332.636813
17, 2018-07-10 08:19:26,-6421,2080,1236,791,-778,1975,-22.37,1.46,6861.729884
18, 2018-07-10 08:19:26,-6487,2598,979,2233,-44,1496,-22.4,1.67,7056.147249
19, 2018-07-10 08:19:26,-6360,2410,935,2288,-2039,1668,-22.38,1.94,6865.269478
20, 2018-07-10 08:19:26,-7677,2379,85,1741,-2356,1839,-22.25,2.16,8037.611275
21, 2018-07-10 08:19:26,-8192,1609,525,1575,-809,1945,-22.33,2.34,8365.008667
22, 2018-07-10 08:19:26,-7601,1341,159,369,1949,2054,-22.59,2.43,7720.02351
23, 2018-07-10 08:19:26,-7047,1146,968,-1008,2327,2267,-22.81,2.4,7204.89757
24, 2018-07-10 08:19:26,-6787,1031,1261,-2147,1719,1988,-23,2.29,6979.717115
25, 2018-07-10 08:19:26,-6670,1554,1047,-2467,-449,1596,-23.06,2.16,6928.205034
26, 2018-07-10 08:19:26,-6896,2724,1215,-2954,-1762,1390,-23.04,2.02,7513.402492
27, 2018-07-10 08:19:26,-8192,3682,622,-3065,-3084,1458,-22.93,1.8,9002.936854
28, 2018-07-10 08:19:26,-8192,3824,686,-1794,-1362,906,-22.96,1.71,9066.555906
29, 2018-07-10 08:19:26,-8192,5797,1796,-415,1022,-1177,-23.23,1.74,10195.08161
30, 2018-07-10 08:19:26,-8192,5972,1977,-1113,-4841,-305,-23.14,1.78,10328.70645
31, 2018-07-10 08:19:26,-8192,3645,1099,646,-727,517,-23.05,1.86,9033.420725
32, 2018-07-10 08:19:26,-8192,706,3752,-742,4521,-1336,-23.63,1.91,9037.964594
33, 2018-07-10 08:19:26,-5818,-899,3891,-4535,3534,-3221,-24.07,1.57,7056.713541
34, 2018-07-10 08:19:26,-5078,68,5350,-6001,2458,-4207,-24.27,1.23,7376.530892
35, 2018-07-10 08:19:26,-5808,600,5110,-7950,-514,-4899,-24.33,0.76,7759.185782
36, 2018-07-10 08:19:26,-7040,1167,3008,-7808,-2680,-4460,-24.24,0.3,7744.130229
37, 2018-07-10 08:19:26,-7482,1656,577,-7285,-666,-3419,-24.25,-0.14,7684.763432
38, 2018-07-10 08:19:26,-6808,2213,487,-5244,3956,-2038,-24.5,-0.46,7175.193517
39, 2018-07-10 08:19:26,-5898,2105,982,-2948,6052,-917,-24.9,-0.64,6338.907871
40, 2018-07-10 08:19:27,-5445,1709,1638,-1968,4454,-1110,-25.23,-0.74,5937.318418
41, 2018-07-10 08:19:27,-5915,1209,2406,-2152,1515,-2199,-25.41,-0.85,6499.057009
42, 2018-07-10 08:19:27,-6420,493,1994,-2598,-1640,-3489,-25.39,-0.99,6740.584915
43, 2018-07-10 08:19:27,-7004,-171,848,-3121,-2107,-4294,-25.32,-1.17,7057.220487
44, 2018-07-10 08:19:27,-7052,-410,346,-3280,1917,-4097,-25.44,-1.38,7072.377252
45, 2018-07-10 08:19:27,-6360,51,1419,-3067,4992,-3329,-25.78,-1.56,6516.575941
46, 2018-07-10 08:19:27,-5956,694,1692,-3143,4728,-2705,-26.12,-1.74,6230.444286
47, 2018-07-10 08:19:27,-6275,1406,1504,-2881,2916,-2614,-26.37,-1.9,6604.125756
48, 2018-07-10 08:19:27,-6843,1573,725,-1712,1566,-2542,-26.53,-2,7058.796144
49, 2018-07-10 08:19:27,-7261,1192,622,329,2302,-2198,-26.73,-1.99,7384.434237
50, 2018-07-10 08:19:27,-7342,903,1111,1974,1644,-1248,-26.92,-1.87,7480.287027
51, 2018-07-10 08:19:27,-7859,374,743,2488,598,-276,-27.12,-1.62,7902.898582
52, 2018-07-10 08:19:27,-8192,-441,622,2067,-237,-266,-27.29,-1.43,8227.407186
53, 2018-07-10 08:19:27,-8192,195,-214,1910,-694,-944,-27.42,-1.24,8197.114431
54, 2018-07-10 08:19:27,-7912,1856,3054,-8439,-171,-4974,-27.51,-2.2,8681.670116
55, 2018-07-10 08:19:27,-7430,1836,2007,-7383,2696,-3669,-27.71,-2.64,7912.259159
56, 2018-07-10 08:19:27,-6981,1711,1270,-5507,4685,-2053,-28.04,-2.97,7298.957597
57, 2018-07-10 08:19:27,-6331,1262,1263,-3526,5079,-803,-28.41,-3.18,6577.946032
58, 2018-07-10 08:19:27,-6013,926,1713,-3071,3848,-1215,-28.7,-3.35,6320.44413
59, 2018-07-10 08:19:27,-5689,869,1908,-3411,1847,-2757,-28.87,-3.54,6063.03109
60, 2018-07-10 08:19:27,-5529,790,1290,-3900,559,-3965,-28.94,-3.75,5732.193385
61, 2018-07-10 08:19:27,-5736,190,1129,-4664,1575,-3959,-29.1,-4.14,5849.139851
62, 2018-07-10 08:19:27,-5708,206,1015,-255,141,313,-29.19,-4.28,5801.200307
63, 2018-07-10 08:19:27,-6400,550,1226,-3956,212,-2936,-29.31,-4.62,6539.539433
64, 2018-07-10 08:19:27,-7319,854,828,-3967,-413,-3351,-29.35,-4.84,7415.0294
65, 2018-07-10 08:19:27,-7861,1002,19,-2703,-145,-3549,-29.43,-5,7924.625291
66, 2018-07-10 08:19:27,-7973,555,573,-1199,128,-4399,-29.56,-5.11,8012.807436
67, 2018-07-10 08:19:27,-7815,457,1245,-755,266,-4818,-29.67,-5.15,7926.733186
68, 2018-07-10 08:19:27,-8192,88,1262,-568,-548,-4785,-29.76,-5.17,8289.104415
69, 2018-07-10 08:19:27,-8192,-186,675,-38,-1048,-3859,-29.82,-5.17,8221.866272
70, 2018-07-10 08:19:28,-8192,210,255,1654,-32,-2569,-29.95,-5.06,8198.657756
71, 2018-07-10 08:19:28,-8192,1301,1044,2371,961,-1555,-30.12,-4.89,8360.107715
72, 2018-07-10 08:19:28,-8192,-623,2263,2292,1451,-158,-30.45,-4.66,8521.62907
73, 2018-07-10 08:19:28,-8192,-2363,3268,1836,-5978,185,-30.31,-4.56,9130.851932
74, 2018-07-10 08:19:28,-8192,-301,-496,1727,-4675,-415,-30.06,-4.45,8212.519772
75, 2018-07-10 08:19:28,-8192,1576,3185,4517,5620,1218,-30.57,-4.11,8929.550101
76, 2018-07-10 08:19:28,-5306,2307,4079,6490,4322,3327,-30.91,-3.69,7079.133139
77, 2018-07-10 08:19:28,-4565,1808,5005,7051,-277,4289,-30.97,-3.22,7011.284761
78, 2018-07-10 08:19:28,-6521,813,4013,-255,141,313,-30.79,-2.81,7699.907727
79, 2018-07-10 08:19:28,-8192,398,1438,5171,-4755,3577,-30.43,-2.3,8326.770803
80, 2018-07-10 08:19:28,-8192,530,1279,5392,407,2069,-30.51,-1.96,8308.16496
81, 2018-07-10 08:19:28,-6309,1155,1914,4079,4416,1186,-30.94,-1.52,6693.347593
82, 2018-07-10 08:19:28,-5157,1460,2065,3375,3504,2280,-31.2,-1.28,5743.733455
83, 2018-07-10 08:19:28,-5037,1180,2239,2897,-758,5696,-31.27,-0.98,5637.099431
84, 2018-07-10 08:19:28,-6035,1341,2025,2727,-4017,7647,-31.08,-0.8,6505.392455
85, 2018-07-10 08:19:28,-7410,1406,1362,2362,-3995,7523,-30.88,-0.63,7664.201198
86, 2018-07-10 08:19:28,-8192,1414,1019,2097,-319,6206,-30.92,-0.47,8375.357962
87, 2018-07-10 08:19:28,-7396,2026,1969,958,4480,5026,-31.34,-0.31,7917.225082
88, 2018-07-10 08:19:28,-6751,2055,2401,-273,5261,4282,-31.71,-0.28,7454.11477
89, 2018-07-10 08:19:28,-6377,1215,1833,-1895,3197,2851,-32.13,-0.38,6745.535042
90, 2018-07-10 08:19:28,-5820,1146,1279,-3238,1876,1969,-32.38,-0.62,6068.076878
91, 2018-07-10 08:19:28,-6026,1951,1426,-4020,575,2138,-32.46,-0.83,6492.49975
92, 2018-07-10 08:19:28,-7005,2607,1141,-4213,-1169,2142,-32.45,-1.05,7560.975797
93, 2018-07-10 08:19:28,-7886,2651,751,-4503,-704,1705,-32.48,-1.28,8353.490169
94, 2018-07-10 08:19:28,-8079,2578,854,-4826,355,1774,-32.58,-1.53,8523.241226
95, 2018-07-10 08:19:28,-8192,2823,788,-4876,-119,1793,-32.7,-1.78,8700.525099
96, 2018-07-10 08:19:28,-8192,3337,971,-3353,-2442,750,-32.69,-1.97,8898.723167
97, 2018-07-10 08:19:28,-8192,5799,2226,-3295,-4680,-1080,-32.56,-2.08,10280.67804
98, 2018-07-10 08:19:28,-8192,7201,1624,-3127,-8706,-1035,-32.18,-2.14,11027.26807
