No, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch,Akselerasi
1, 2+D2265:D2283018-07-09 08:50:48,-7568,347,-89,159,-239,-2792,-18.72,7.2,7576.473718
2, 2018-07-09 08:50:48,-8192,1400,-2344,524,-1636,-2226,-18.72,7.21,8634.998552
3, 2018-07-09 08:50:48,-8192,788,-1945,1061,295,-1009,-18.88,7.28,8456.52606
4, 2018-07-09 08:50:48,-8192,95,-2583,1105,1013,-1659,-19.14,7.36,8590.097671
5, 2018-07-09 08:50:48,-8192,900,1865,-517,-4117,595,-19.22,7.37,8449.679816
6, 2018-07-09 08:50:48,-8192,-379,3001,-1036,-9074,-1871,-18.83,7.29,8732.611637
7, 2018-07-09 08:50:48,-8192,3500,115,1005,-1993,-2797,-18.75,7.35,8909.10147
8, 2018-07-09 08:50:48,-8192,1561,1770,1615,2128,2305,-19.09,7.43,8525.16774
9, 2018-07-09 08:50:48,-7792,698,964,6147,284,3842,-19.37,7.92,7882.370456
10, 2018-07-09 08:50:48,-5614,978,1481,5409,-400,2691,-19.4,8.26,5887.855382
11, 2018-07-09 08:50:49,-4551,1188,2409,3278,-468,1732,-19.43,8.62,5284.527037
12, 2018-07-09 08:50:49,-5856,466,1236,1850,-575,1928,-19.43,8.74,6003.131516
13, 2018-07-09 08:50:49,-8192,451,-434,-615,2704,1941,-19.78,8.75,8215.876155
14, 2018-07-09 08:50:49,-8052,1631,-324,-1842,3339,3051,-20.13,8.64,8221.912247
15, 2018-07-09 08:50:49,-6269,2798,10,-986,1299,3775,-20.37,8.55,6865.075746
16, 2018-07-09 08:50:49,-5971,2271,-20,342,1142,3040,-20.5,8.57,6388.32388
17, 2018-07-09 08:50:49,-5880,1049,216,748,-263,2219,-20.59,8.64,5976.743009
18, 2018-07-09 08:50:49,-6439,836,-340,212,-1012,2479,-20.59,8.66,6501.93948
19, 2018-07-09 08:50:49,-6774,1386,-711,-37,-230,2693,-20.64,8.66,6950.798012
20, 2018-07-09 08:50:49,-6492,2285,6,-167,12,2497,-20.74,8.68,6882.392389
21, 2018-07-09 08:50:49,-5979,1695,132,-1024,-341,1472,-20.81,8.63,6216.018822
22, 2018-07-09 08:50:49,-6322,829,-666,-944,-554,-8,-20.83,8.52,6410.809699
23, 2018-07-09 08:50:49,-6606,2395,-905,-578,-411,-329,-20.88,8.49,7084.792587
24, 2018-07-09 08:50:49,-7850,4007,-1337,254,-2005,-340,-20.86,8.53,8914.377039
25, 2018-07-09 08:50:49,-8192,3291,-2591,2447,-372,174,-20.96,8.74,9200.697039
26, 2018-07-09 08:50:49,-8192,2147,-2591,3777,6084,-140,-21.52,9.09,8856.170391
27, 2018-07-09 08:50:49,-8192,2272,-1452,1940,1282,431,-21.84,9.26,8624.334873
28, 2018-07-09 08:50:49,-8167,924,921,1211,-8192,1954,-21.56,9.33,8270.54448
29, 2018-07-09 08:50:49,-8192,3943,1109,2641,-15631,4108,-20.82,9.51,9158.929741
30, 2018-07-09 08:50:49,-8192,7219,1007,3131,-1908,2505,-20.68,9.81,10965.25759
31, 2018-07-09 08:50:49,-8192,916,1176,4162,4986,722,-21.35,10.23,8326.517639
32, 2018-07-09 08:50:49,-6619,1326,1662,-188,3838,-2114,-21.9,10.28,6952.099036
33, 2018-07-09 08:50:49,-4385,797,1415,606,-358,-1807,-21.94,10.29,4676.073032
34, 2018-07-09 08:50:49,-5136,54,1875,1204,-3059,-3129,-21.82,10.35,5467.818303
35, 2018-07-09 08:50:49,-8119,1394,-2,3233,-1471,-1140,-21.69,10.58,8237.803166
36, 2018-07-09 08:50:49,-8192,869,126,2817,4159,57,-22.02,10.76,8238.925962
37, 2018-07-09 08:50:49,-7351,408,771,1118,4638,-893,-22.41,10.84,7402.574282
38, 2018-07-09 08:50:49,-5818,596,667,-54,2466,-1965,-22.64,10.83,5886.359571
39, 2018-07-09 08:50:49,-5297,385,447,-29,661,-3119,-22.8,10.79,5329.750745
40, 2018-07-09 08:50:49,-5646,898,283,378,-716,-2226,-22.82,10.8,5723.967942
41, 2018-07-09 08:50:49,-5901,1448,262,759,-1134,-1414,-22.8,10.84,6081.706093
42, 2018-07-09 08:50:50,-6086,2153,132,1994,-1654,-623,-22.76,10.95,6456.95199
43, 2018-07-09 08:50:50,-6711,1783,-39,2579,-1415,-776,-22.72,11.11,6943.927635
44, 2018-07-09 08:50:50,-7652,377,-635,2143,995,-1430,-22.85,11.3,7687.552146
45, 2018-07-09 08:50:50,-7536,459,-1054,2888,4119,-1420,-23.16,11.45,7623.181291
46, 2018-07-09 08:50:50,-6649,70,-153,1426,3023,-919,-23.62,11.61,6651.128476
47, 2018-07-09 08:50:50,-7122,215,-208,-422,-3089,-681,-23.6,11.57,7128.279807
48, 2018-07-09 08:50:50,-8192,511,-1920,-140,-4220,-591,-23.46,11.54,8429.494943
49, 2018-07-09 08:50:50,-8192,1026,-1959,-564,-276,-11,-23.52,11.51,8485.235471
50, 2018-07-09 08:50:50,-8192,1269,-1492,-426,12,-207,-23.71,11.42,8422.902647
51, 2018-07-09 08:50:50,-8192,1164,-1461,45,-1362,-1002,-23.77,11.42,8402.278322
52, 2018-07-09 08:50:50,-8192,1715,396,-1016,-4270,-979,-23.7,11.39,8378.956081
53, 2018-07-09 08:50:50,-8192,-796,1281,-4348,-9572,-30,-23.29,11.14,8329.672322
54, 2018-07-09 08:50:50,-8192,458,-277,-827,-4411,-775,-23.07,11.01,8209.467522
55, 2018-07-09 08:50:50,-8192,1990,999,-1329,3752,1580,-23.55,10.87,8489.226408
