device, waktu, accx, accY, accZ
5974, 23:25:40,-7974,884,242
5975, 23:25:40,-8012,904,254
5976, 23:25:40,-7990,837,315
5977, 23:25:40,-7979,766,285
5978, 23:25:40,-7948,773,230
5979, 23:25:40,-7979,859,341
5980, 23:25:40,-8008,846,277
5981, 23:25:40,-7949,829,305
5982, 23:25:40,-7969,851,259
5983, 23:25:40,-7971,928,274
5984, 23:25:40,-7926,893,216
5985, 23:25:40,-7994,873,232
5986, 23:25:40,-7955,856,296
5987, 23:25:40,-7942,871,254
5988, 23:25:40,-7941,886,260
5989, 23:25:40,-7982,925,321
5990, 23:25:40,-7937,932,297
5991, 23:25:40,-7957,933,239
5992, 23:25:40,-7943,935,200
5993, 23:25:40,-7955,951,228
5994, 23:25:40,-7992,919,215
5995, 23:25:40,-7950,941,178
5996, 23:25:40,-7947,917,260
5997, 23:25:40,-7973,926,241
5998, 23:25:40,-7955,911,167
5999, 23:25:40,-7993,879,206
6000, 23:25:40,-7937,909,214
6001, 23:25:40,-8002,893,199
6002, 23:25:40,-7974,922,164
6003, 23:25:40,-7926,929,162
6004, 23:25:40,-7998,908,227
6005, 23:25:40,-7964,858,205
6006, 23:25:40,-8008,902,127
6007, 23:25:40,-7997,976,199
6008, 23:25:40,-7949,941,206
6009, 23:25:40,-7963,950,174
6010, 23:25:41,-7937,907,157
6011, 23:25:41,-7967,947,192
6012, 23:25:41,-7944,929,165
6013, 23:25:41,-7943,911,189
6014, 23:25:41,-7965,950,143
6015, 23:25:41,-7923,983,215
6016, 23:25:41,-7969,970,223
6017, 23:25:41,-7959,951,219
6018, 23:25:41,-7960,935,217
6019, 23:25:41,-7959,914,199
6020, 23:25:41,-7963,893,199
6021, 23:25:41,-7974,865,176
6022, 23:25:41,-7935,891,218
6023, 23:25:41,-7932,889,223
6024, 23:25:41,-7945,899,242
6025, 23:25:41,-7980,874,268
6026, 23:25:41,-7991,870,236
6027, 23:25:41,-7972,918,235
6028, 23:25:41,-7973,891,271
6029, 23:25:41,-7977,889,288
6030, 23:25:41,-7955,839,266
6031, 23:25:41,-7967,833,189
6032, 23:25:41,-7961,859,230
6033, 23:25:41,-7988,926,255
6034, 23:25:41,-7929,926,268
6035, 23:25:41,-7937,887,287
6036, 23:25:41,-8009,905,257
6037, 23:25:41,-7942,907,244
6038, 23:25:41,-7986,887,222
6039, 23:25:41,-7940,891,194
6040, 23:25:41,-7973,906,238
6041, 23:25:41,-7986,918,211
6042, 23:25:42,-7971,904,220
6043, 23:25:42,-7965,868,224
6044, 23:25:42,-7977,855,236
6045, 23:25:42,-7972,813,234
6046, 23:25:42,-8032,836,244
6047, 23:25:42,-7986,836,273
6048, 23:25:42,-8002,834,255
6049, 23:25:42,-7992,856,262
6050, 23:25:42,-7953,860,274
6051, 23:25:42,-7971,856,296
6052, 23:25:42,-7935,883,297
6053, 23:25:42,-7971,878,246
6054, 23:25:42,-7930,847,328
6055, 23:25:42,-7985,866,285
6056, 23:25:42,-7983,887,260
6057, 23:25:42,-7927,894,306
6058, 23:25:42,-7926,867,262
6059, 23:25:42,-8003,886,258
6060, 23:25:42,-7951,875,276
6061, 23:25:42,-7968,864,226
6062, 23:25:42,-7971,852,255
6063, 23:25:42,-7963,869,266
6064, 23:25:42,-7939,867,287
6065, 23:25:42,-7965,864,206
6066, 23:25:42,-7958,876,285
6067, 23:25:42,-7988,878,289
6068, 23:25:42,-7965,858,297
6069, 23:25:42,-7964,864,267
6070, 23:25:42,-7988,869,252
6071, 23:25:42,-7970,904,241
6072, 23:25:42,-7984,875,277
6073, 23:25:43,-7993,825,245
6074, 23:25:43,-7993,837,220
6075, 23:25:43,-8022,857,219
6076, 23:25:43,-7905,818,294
6077, 23:25:43,-8053,860,208
6078, 23:25:43,-7969,810,288
6079, 23:25:43,-7954,848,277
6080, 23:25:43,-7954,829,215
6081, 23:25:43,-7992,856,236
6082, 23:25:43,-7983,854,210
6083, 23:25:43,-7976,852,229
6084, 23:25:43,-7962,857,240
6085, 23:25:43,-7966,828,233
6086, 23:25:43,-7971,832,259
6087, 23:25:43,-7961,819,221
6088, 23:25:43,-7960,848,239
6089, 23:25:43,-7955,857,241
6090, 23:25:43,-7968,855,216
6091, 23:25:44,-7978,851,247
6092, 23:25:44,-7950,851,208
6093, 23:25:44,-7964,839,244
6094, 23:25:44,-7962,865,258
6095, 23:25:44,-7940,865,277
6096, 23:25:44,-7975,839,220
6097, 23:25:44,-7996,842,239
6098, 23:25:44,-7981,863,217
6099, 23:25:44,-7955,844,209
6100, 23:25:44,-8029,878,199
6101, 23:25:44,-7961,839,201
6102, 23:25:44,-7990,845,241
6103, 23:25:44,-7965,865,229
6104, 23:25:44,-7962,855,265
6105, 23:25:44,-7960,840,248
6106, 23:25:44,-7945,861,232
6107, 23:25:44,-7990,877,223
6108, 23:25:44,-7944,878,287
6109, 23:25:44,-7985,894,298
6110, 23:25:44,-7947,902,277
6111, 23:25:44,-7978,868,233
6112, 23:25:44,-7962,883,229
6113, 23:25:44,-7958,871,292
6114, 23:25:44,-7964,904,274
6115, 23:25:44,-7983,881,265
6116, 23:25:44,-7952,869,299
6117, 23:25:44,-7969,903,276
6118, 23:25:44,-7953,849,284
6119, 23:25:44,-7983,893,278
6120, 23:25:44,-7949,854,274
6121, 23:25:44,-7973,902,271
6122, 23:25:44,-7938,884,265
6123, 23:25:44,-7947,886,314
6124, 23:25:44,-7922,869,308
6125, 23:25:44,-8023,846,229
6126, 23:25:44,-7994,865,281
6127, 23:25:44,-7964,883,226
6128, 23:25:44,-7943,898,240
6129, 23:25:44,-7961,904,279
6130, 23:25:45,-7983,852,260
6131, 23:25:45,-7998,850,206
6132, 23:25:45,-7954,887,228
6133, 23:25:45,-7982,845,209
6134, 23:25:45,-7962,874,264
6135, 23:25:45,-7964,872,234
6136, 23:25:45,-7929,896,265
6137, 23:25:45,-7996,873,211
6138, 23:25:45,-7971,843,202
6139, 23:25:45,-7994,879,214
6140, 23:25:45,-7963,842,221
6141, 23:25:45,-8039,903,228
6142, 23:25:45,-7946,896,188
6143, 23:25:45,-8006,898,210
6144, 23:25:45,-7968,882,211
6145, 23:25:45,-7977,827,162
6146, 23:25:45,-7964,882,221
6147, 23:25:45,-7990,894,173
6148, 23:25:45,-7972,866,165
6149, 23:25:45,-7949,841,187
