device, waktu, accx, accY, accZ
4791, 23:22:07,-7941,-110,2033
4792, 23:22:07,-7663,438,2308
4793, 23:22:07,-7662,-52,2799
4794, 23:22:07,-7664,-735,1954
4795, 23:22:07,-8192,-485,2945
4796, 23:22:07,-8192,-1064,2688
4797, 23:22:07,-7651,-1438,994
4798, 23:22:07,-7237,-101,831
4799, 23:22:07,-7640,148,1584
4800, 23:22:07,-8058,-412,1044
4801, 23:22:07,-7600,-389,2263
4802, 23:22:07,-7371,-59,1548
4803, 23:22:07,-7915,173,1584
4804, 23:22:08,-8192,112,1982
4805, 23:22:08,-7771,-47,1848
4806, 23:22:08,-7957,-293,1744
4807, 23:22:08,-7846,-342,1327
4808, 23:22:08,-8181,115,1699
4809, 23:22:08,-7998,-2,1781
4810, 23:22:08,-7953,73,1761
4811, 23:22:08,-8040,-301,1783
4812, 23:22:08,-7878,-603,1935
4813, 23:22:08,-7903,-204,1868
4814, 23:22:08,-7642,202,1977
4815, 23:22:08,-8039,-881,2168
4816, 23:22:08,-8006,-514,1522
4817, 23:22:08,-7911,329,1854
4818, 23:22:08,-7767,-317,1923
4819, 23:22:08,-7772,-329,1737
4820, 23:22:08,-8039,-235,1579
4821, 23:22:08,-8094,160,1664
4822, 23:22:08,-7781,-4,1718
4823, 23:22:08,-7807,-224,1886
4824, 23:22:08,-8046,-191,1766
4825, 23:22:08,-8040,-146,1622
4826, 23:22:08,-7994,-92,1765
4827, 23:22:08,-7593,-267,1721
4828, 23:22:08,-7998,-482,1789
4829, 23:22:08,-8151,-234,1360
4830, 23:22:08,-8055,-56,1713
4831, 23:22:08,-7906,-260,1745
4832, 23:22:09,-7797,-332,1584
4833, 23:22:09,-7859,-274,1515
4834, 23:22:09,-8113,-194,1615
4835, 23:22:09,-8063,-309,2125
4836, 23:22:09,-7164,-1127,661
4837, 23:22:09,-8192,-1473,563
4838, 23:22:09,-8192,-527,1880
4839, 23:22:09,-7054,267,1505
4840, 23:22:09,-7714,74,3075
4841, 23:22:09,-8030,393,1922
4842, 23:22:09,-7612,-517,916
4843, 23:22:09,-8192,-141,1822
4844, 23:22:09,-8111,-234,1720
4845, 23:22:09,-7861,-287,1265
4846, 23:22:09,-8121,-518,1514
4847, 23:22:09,-7961,-736,1517
4848, 23:22:09,-7925,-551,1574
4849, 23:22:09,-7846,-331,1497
4850, 23:22:09,-8033,-199,1517
4851, 23:22:09,-8006,-373,1386
4852, 23:22:09,-7976,-450,1483
4853, 23:22:09,-7921,-300,1672
4854, 23:22:09,-7896,-290,1739
4855, 23:22:09,-7935,-253,1698
4856, 23:22:09,-7889,-232,1662
4857, 23:22:10,-7864,-296,1687
4858, 23:22:10,-7853,-283,1651
4859, 23:22:10,-7941,-151,1741
4860, 23:22:10,-7902,-268,1770
4861, 23:22:10,-8031,-298,1554
4862, 23:22:10,-7880,-166,1657
4863, 23:22:10,-7878,-195,1669
4864, 23:22:10,-7897,-366,1633
4865, 23:22:10,-7886,-259,1655
4866, 23:22:10,-7846,-311,1660
4867, 23:22:10,-7962,-273,1603
4868, 23:22:10,-7938,-254,1678
4869, 23:22:10,-7906,-222,1689
4870, 23:22:10,-7883,-251,1760
4871, 23:22:10,-7907,-315,1706
4872, 23:22:10,-7977,-308,1753
4873, 23:22:10,-7921,-253,1657
4874, 23:22:10,-7896,-246,1693
4875, 23:22:10,-7887,-303,1700
4876, 23:22:10,-7956,-281,1672
4877, 23:22:10,-7915,-294,1669
4878, 23:22:10,-7788,-372,1748
4879, 23:22:10,-7924,-377,1768
4880, 23:22:10,-7991,-227,1733
4881, 23:22:10,-7920,-234,1709
4882, 23:22:10,-7975,-318,1653
4883, 23:22:10,-7898,-282,1719
4884, 23:22:10,-7864,-212,1708
4885, 23:22:11,-7921,-214,1749
4886, 23:22:11,-7874,-243,1689
4887, 23:22:11,-7920,-247,1670
4888, 23:22:11,-7931,-269,1745
4889, 23:22:11,-7923,-292,1649
4890, 23:22:11,-7941,-315,1674
4891, 23:22:11,-7924,-282,1663
4892, 23:22:11,-7911,-341,1668
4893, 23:22:11,-7903,-362,1636
4894, 23:22:11,-7937,-332,1719
4895, 23:22:11,-7836,-422,1726
4896, 23:22:11,-7913,-316,1721
4897, 23:22:11,-7915,-283,1717
4898, 23:22:11,-7923,-347,1689
4899, 23:22:11,-7908,-356,1670
4900, 23:22:11,-7880,-323,1730
4901, 23:22:11,-7899,-344,1695
4902, 23:22:11,-7889,-317,1691
4903, 23:22:11,-7945,-327,1693
4904, 23:22:11,-7875,-341,1660
4905, 23:22:11,-7931,-333,1748
4906, 23:22:11,-7910,-330,1772
4907, 23:22:11,-7929,-423,1689
4908, 23:22:11,-7917,-354,1672
4909, 23:22:11,-7874,-369,1737
4910, 23:22:11,-7942,-357,1691
4911, 23:22:11,-7874,-356,1714
4912, 23:22:11,-7906,-376,1732
4913, 23:22:12,-7898,-292,1747
4914, 23:22:12,-7909,-305,1719
4915, 23:22:12,-7874,-299,1822
4916, 23:22:12,-7869,-317,1831
4917, 23:22:12,-7907,-309,1764
4918, 23:22:12,-7952,-298,1728
4919, 23:22:12,-7975,-350,1773
4920, 23:22:12,-7877,-402,1796
4921, 23:22:12,-7837,-367,1815
4922, 23:22:12,-7903,-324,1782
4923, 23:22:12,-7836,-357,1755
4924, 23:22:12,-7865,-341,1787
4925, 23:22:12,-7891,-299,1799
4926, 23:22:12,-7859,-294,1770
4927, 23:22:12,-7873,-300,1789
4928, 23:22:12,-7909,-296,1800
4929, 23:22:12,-7854,-270,1768
4930, 23:22:12,-7901,-289,1820
4931, 23:22:12,-7828,-275,1797
4932, 23:22:12,-7852,-158,1825
4933, 23:22:12,-7821,7,2002
4934, 23:22:12,-7667,-78,1998
4935, 23:22:12,-7677,-467,1934
4936, 23:22:12,-7814,-533,1772
4937, 23:22:12,-8192,-530,1434
4938, 23:22:12,-8192,-406,1678
