 device, waktu, accx, accY, accZ
645, 23:42:58,-7899,274,1671
646, 23:42:58,-7893,265,1667
647, 23:42:58,-7923,274,1702
648, 23:42:58,-7908,231,1641
649, 23:42:58,-7931,237,1650
650, 23:42:58,-7880,273,1697
651, 23:42:58,-7911,247,1643
652, 23:42:58,-7930,282,1625
653, 23:42:58,-7917,242,1633
654, 23:42:58,-7915,263,1686
655, 23:42:58,-7922,270,1713
656, 23:42:58,-7919,264,1682
657, 23:42:58,-7930,240,1659
658, 23:42:58,-7914,252,1638
659, 23:42:58,-7940,252,1625
660, 23:42:58,-7927,297,1602
661, 23:42:58,-7899,258,1645
662, 23:42:58,-7951,256,1613
663, 23:42:58,-7906,258,1636
664, 23:42:58,-7916,245,1640
665, 23:42:58,-7914,254,1641
666, 23:42:58,-7931,287,1653
667, 23:42:58,-7907,267,1643
668, 23:42:58,-7949,248,1606
669, 23:42:58,-7924,255,1632
670, 23:42:58,-7906,270,1613
671, 23:42:58,-7934,269,1656
672, 23:42:58,-7911,240,1609
673, 23:42:58,-7922,280,1626
674, 23:42:58,-7930,279,1624
675, 23:42:58,-7896,266,1598
676, 23:42:58,-7941,246,1607
677, 23:42:59,-7928,281,1619
678, 23:42:59,-7920,261,1611
679, 23:42:59,-7902,289,1611
680, 23:42:59,-7928,262,1555
681, 23:42:59,-7929,249,1572
682, 23:42:59,-7932,242,1556
683, 23:42:59,-7944,287,1563
684, 23:42:59,-7932,284,1601
685, 23:42:59,-7889,267,1586
686, 23:43:00,-7938,271,1525
687, 23:43:00,-7936,255,1560
688, 23:43:00,-7922,264,1613
689, 23:43:00,-7945,253,1566
690, 23:43:00,-7919,238,1570
691, 23:43:00,-7952,269,1577
692, 23:43:00,-7927,264,1540
693, 23:43:00,-7960,259,1578
694, 23:43:00,-7915,285,1515
695, 23:43:00,-7949,263,1579
696, 23:43:00,-7948,269,1549
697, 23:43:00,-7932,264,1551
698, 23:43:00,-7939,273,1583
699, 23:43:00,-7944,287,1560
700, 23:43:00,-7909,283,1542
701, 23:43:00,-7924,260,1548
