 device, waktu, accx, accY, accZ
2023, 22:57:35,-7902,-254,1913
2024, 22:57:35,-7913,-260,1926
2025, 22:57:35,-7865,-259,1943
2026, 22:57:36,-7864,-266,1926
2027, 22:57:36,-7909,-275,1890
2028, 22:57:36,-7897,-311,1886
2029, 22:57:36,-7887,-252,1940
2030, 22:57:36,-7895,-279,1917
2031, 22:57:36,-7902,-297,1921
2032, 22:57:36,-7906,-265,1911
2033, 22:57:36,-7887,-242,1948
2034, 22:57:36,-7857,-264,1930
2035, 22:57:36,-7883,-291,1879
2036, 22:57:36,-7925,-256,1934
2037, 22:57:36,-7897,-258,1945
2038, 22:57:36,-7867,-271,1906
2039, 22:57:36,-7918,-296,1864
2040, 22:57:36,-7915,-289,1943
2041, 22:57:36,-7904,-269,1955
2042, 22:57:36,-7877,-288,1937
2043, 22:57:36,-7865,-287,1902
2044, 22:57:36,-7896,-293,1908
2045, 22:57:36,-7885,-278,1951
2046, 22:57:37,-7892,-290,1927
2047, 22:57:37,-7887,-306,1946
2048, 22:57:37,-7907,-301,1934
2049, 22:57:37,-7940,-302,1934
2050, 22:57:37,-7861,-285,1894
2051, 22:57:37,-7890,-301,1900
2052, 22:57:37,-7916,-286,1921
2053, 22:57:37,-7873,-288,1965
2054, 22:57:37,-7845,-310,1899
2055, 22:57:37,-7894,-268,1939
2056, 22:57:37,-7901,-269,1972
2057, 22:57:37,-7882,-285,1891
2058, 22:57:37,-7914,-288,1908
2059, 22:57:37,-7899,-223,1848
2060, 22:57:37,-7915,-266,1923
2061, 22:57:37,-7849,-305,1908
2062, 22:57:37,-7881,-281,1922
2063, 22:57:37,-7900,-277,1865
2064, 22:57:37,-7911,-273,1882
2065, 22:57:37,-7888,-267,1880
2066, 22:57:37,-7872,-275,1917
2067, 22:57:37,-7909,-283,1946
2068, 22:57:37,-7882,-287,1885
2069, 22:57:37,-7889,-265,1940
2070, 22:57:37,-7886,-282,1892
2071, 22:57:41,-7908,-244,1935
2072, 22:57:41,-7870,-281,1937
2073, 22:57:41,-7866,-288,1907
2074, 22:57:41,-7930,-288,1869
2075, 22:57:42,-7913,-276,1910
2076, 22:57:42,-7880,-276,1898
2077, 22:57:42,-7888,-293,1847
2078, 22:57:42,-7925,-274,1891
2079, 22:57:42,-7921,-227,1919
2080, 22:57:42,-7910,-245,1891
2081, 22:57:42,-7886,-273,1890
2082, 22:57:42,-7854,-260,1890
2083, 22:57:42,-7862,-251,1924
2084, 22:57:42,-7897,-235,1896
2085, 22:57:42,-7888,-247,1897
2086, 22:57:42,-7864,-240,1880
2087, 22:57:42,-7901,-249,1856
2088, 22:57:42,-7915,-246,1902
2089, 22:57:42,-7907,-256,1931
2090, 22:57:42,-7890,-245,1876
2091, 22:57:42,-7904,-238,1892
2092, 22:57:42,-7901,-216,1876
2093, 22:57:42,-7906,-245,1909
2094, 22:57:42,-7878,-269,1875
2095, 22:57:42,-7916,-254,1841
2096, 22:57:42,-7920,-264,1927
2097, 22:57:42,-7877,-234,1886
2098, 22:57:42,-7872,-286,1847
2099, 22:57:42,-7935,-251,1865
2100, 22:57:42,-7925,-257,1921
2101, 22:57:43,-7908,-239,1897
2102, 22:57:43,-7874,-271,1904
2103, 22:57:43,-7879,-269,1881
2104, 22:57:43,-7892,-267,1890
2105, 22:57:43,-7915,-263,1864
2106, 22:57:43,-7891,-246,1934
2107, 22:57:43,-7907,-251,1861
2108, 22:57:43,-7925,-273,1884
2109, 22:57:43,-7912,-270,1903
2110, 22:57:43,-7889,-276,1902
2111, 22:57:43,-7865,-274,1883
2112, 22:57:43,-7888,-284,1864
2113, 22:57:43,-7917,-250,1866
2114, 22:57:43,-7919,-246,1946
2115, 22:57:43,-7877,-274,1902
2116, 22:57:43,-7878,-268,1861
2117, 22:57:43,-7891,-281,1874
2118, 22:57:43,-7916,-249,1931
2119, 22:57:43,-7877,-253,1926
2120, 22:57:43,-7898,-259,1956
2121, 22:57:43,-7889,-272,1922
2122, 22:57:43,-7885,-267,1890
2123, 22:57:43,-7640,-345,2853
2124, 22:57:43,-7578,-30,2806
2125, 22:57:43,-7820,-112,2668
2126, 22:57:43,-7760,-136,2853
2127, 22:57:43,-7750,-132,2759
2128, 22:57:43,-7792,-131,2663
2129, 22:57:43,-7758,-188,2716
2130, 22:57:43,-7724,-102,2778
2131, 22:57:44,-7752,-36,2731
2132, 22:57:44,-7770,-168,2683
2133, 22:57:44,-7742,-183,2717
