No, id_percobaan, id_pasien, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch
3602,8,2, 2018-07-09 06:14:29,-7668,1204,-1123,4488,-1853,1124,-51.88,95.75
3603,8,2, 2018-07-09 06:14:29,-7334,-35,-1034,3746,-4074,-692,-51.68,95.8
3604,8,2, 2018-07-09 06:14:29,-8192,-743,-884,1211,-6665,-1287,-51.37,95.71
3605,8,2, 2018-07-09 06:14:29,-8192,-461,3183,-1190,-12508,-1244,-50.84,95.49
3606,8,2, 2018-07-09 06:14:29,-8192,-2065,5250,-5178,-13651,-4953,-49.97,94.99
3607,8,2, 2018-07-09 06:14:29,-8192,232,1635,-11990,-1116,-4576,-49.84,94.09
3608,8,2, 2018-07-09 06:14:29,-8192,4409,-633,-6320,5318,-1539,-50.18,93.46
3609,8,2, 2018-07-09 06:14:29,-6642,7289,-677,-812,8286,-139,-50.69,93.29
3610,8,2, 2018-07-09 06:14:30,-3869,4951,914,4476,4812,3664,-51,93.39
3611,8,2, 2018-07-09 06:14:30,-3403,1743,2564,8878,-146,4832,-50.99,93.74
3612,8,2, 2018-07-09 06:14:30,-5486,-1735,5328,7535,-2900,1495,-50.81,94.03
3613,8,2, 2018-07-09 06:14:30,-6850,-3195,5700,2231,-4534,-2384,-50.58,94.02
3614,8,2, 2018-07-09 06:14:30,-7382,-18,1319,-2737,-2008,-1306,-50.42,93.69
3615,8,2, 2018-07-09 06:14:30,-8192,2539,522,-914,2844,951,-50.62,93.44
3616,8,2, 2018-07-09 06:14:30,-7648,4809,1439,1420,2765,332,-50.85,93.38
3617,8,2, 2018-07-09 06:14:30,-8192,1686,1038,3581,1980,1071,-51.08,93.46
3618,8,2, 2018-07-09 06:14:30,-7842,-732,1896,1840,4340,-100,-51.55,93.41
3619,8,2, 2018-07-09 06:14:30,-6729,-337,1097,-711,3917,559,-51.81,93.21
3620,8,2, 2018-07-09 06:14:30,-6248,1640,521,-2618,752,1392,-51.97,92.74
3621,8,2, 2018-07-09 06:14:30,-6954,1932,361,-1995,-645,1889,-51.93,92.3
3622,8,2, 2018-07-09 06:14:30,-7344,1479,331,-1609,-310,1299,-51.93,92.04
3623,8,2, 2018-07-09 06:14:30,-7451,1231,-147,-1755,86,286,-51.97,91.63
