No, id_percobaan, id_pasien, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch
2833,13,2, 2018-07-09 08:37:49,-7110,511,144,2244,-322,-1183,-64.87,-26.74
2834,13,2, 2018-07-09 08:37:49,-7260,49,-558,2089,250,-719,-64.86,-26.44
2835,13,2, 2018-07-09 08:37:49,-8106,-449,-920,761,2036,-664,-64.99,-26.33
2836,13,2, 2018-07-09 08:37:49,-8072,-244,-1111,406,-3051,223,-64.85,-26.22
2837,13,2, 2018-07-09 08:37:49,-7380,436,-527,-938,-1074,-88,-64.77,-26.21
2838,13,2, 2018-07-09 08:37:49,-7298,977,-666,-1458,-1416,116,-64.69,-26.22
2839,13,2, 2018-07-09 08:37:49,-7621,576,-675,-2626,-2176,469,-64.58,-26.3
2840,13,2, 2018-07-09 08:37:49,-7924,240,-1308,-2889,-2181,64,-64.46,-26.43
2841,13,2, 2018-07-09 08:37:49,-8000,971,-1500,-1726,-446,81,-64.43,-26.49
2842,13,2, 2018-07-09 08:37:49,-8192,1642,-1305,-876,-454,488,-64.45,-26.47
2843,13,2, 2018-07-09 08:37:49,-8192,2515,-2517,1869,-899,489,-64.45,-26.32
2844,13,2, 2018-07-09 08:37:49,-8192,2977,-3187,5131,-563,465,-64.46,-25.95
2845,13,2, 2018-07-09 08:37:49,-8192,235,-180,5225,-2775,1343,-64.38,-25.55
2846,13,2, 2018-07-09 08:37:49,-8192,-1121,2640,8761,-11557,-1284,-63.89,-25.04
2847,13,2, 2018-07-09 08:37:49,-8192,699,1398,1573,67,-2407,-63.63,-24.8
2848,13,2, 2018-07-09 08:37:49,-6446,292,3800,1584,10233,-1021,-64.26,-24.66
2849,13,2, 2018-07-09 08:37:49,-4078,828,2092,5657,1012,-602,-64.48,-24.14
2850,13,2, 2018-07-09 08:37:49,-7693,602,1323,5600,-5796,-199,-64.18,-23.73
2851,13,2, 2018-07-09 08:37:49,-8192,357,-3018,1067,5916,208,-64.3,-23.52
2852,13,2, 2018-07-09 08:37:49,-8192,-565,1408,-2875,7347,1854,-64.89,-23.6
2853,13,2, 2018-07-09 08:37:49,-6866,-440,1333,-3341,2675,2100,-65.07,-23.77
2854,13,2, 2018-07-09 08:37:49,-4891,368,1664,-2366,1113,2125,-65.1,-23.87
2855,13,2, 2018-07-09 08:37:49,-4835,523,1367,-3950,53,1830,-65.04,-24.02
2856,13,2, 2018-07-09 08:37:49,-7505,-237,-1175,-5757,3029,611,-65.17,-24.41
2857,13,2, 2018-07-09 08:37:50,-7294,305,788,-6444,-1628,2321,-65.22,-24.88
2858,13,2, 2018-07-09 08:37:50,-7478,1413,341,-6370,-1237,2083,-65.11,-25.2
2859,13,2, 2018-07-09 08:37:50,-7226,2165,-316,-6132,1341,859,-65.17,-25.5
2860,13,2, 2018-07-09 08:37:50,-7082,2356,-984,-4185,2546,-713,-65.31,-25.7
2861,13,2, 2018-07-09 08:37:50,-7207,1375,-659,-3988,1007,-1580,-65.39,-25.86
2862,13,2, 2018-07-09 08:37:50,-7923,1364,-1486,-4472,-905,-881,-65.33,-26.05
2863,13,2, 2018-07-09 08:37:50,-8192,1973,-1846,-3025,1792,122,-65.47,-26.19
2864,13,2, 2018-07-09 08:37:50,-8192,1947,-1889,-1913,599,1390,-65.56,-26.23
2865,13,2, 2018-07-09 08:37:50,-8192,2149,-1645,-1282,1573,968,-65.69,-26.24
2866,13,2, 2018-07-09 08:37:50,-7844,1674,-2510,-1450,3059,-488,-65.87,-26.24
2867,13,2, 2018-07-09 08:37:50,-8192,709,-2000,-1725,816,-846,-65.98,-26.28
2868,13,2, 2018-07-09 08:37:50,-8192,1669,-1427,-2826,-6220,2511,-65.56,-26.5
2869,13,2, 2018-07-09 08:37:50,-8192,3581,2138,4062,-6180,4557,-65.26,-26.18
2870,13,2, 2018-07-09 08:37:50,-7766,1940,3098,1598,-1330,2905,-65.11,-25.98
2871,13,2, 2018-07-09 08:37:50,-6061,-1010,3304,-3333,5059,-1063,-65.37,-26.08
2872,13,2, 2018-07-09 08:37:50,-6154,-2547,1765,-4342,1313,-2657,-65.47,-26.35
2873,13,2, 2018-07-09 08:37:50,-7812,254,347,-2287,-1232,4050,-65.39,-26.45
2874,13,2, 2018-07-09 08:37:50,-8192,4035,-1408,1317,3440,-981,-65.63,-26.31
2875,13,2, 2018-07-09 08:37:50,-7869,2699,404,3268,-1280,-1569,-65.64,-26.02
2876,13,2, 2018-07-09 08:37:50,-6149,1223,977,2199,-312,-3026,-65.54,-25.79
2877,13,2, 2018-07-09 08:37:50,-5527,259,1112,2107,1813,-3270,-65.61,-25.6
2878,13,2, 2018-07-09 08:37:50,-5615,231,-445,797,913,-2029,-65.62,-25.5
2879,13,2, 2018-07-09 08:37:50,-6616,328,-311,1015,4117,-1758,-65.82,-25.37
2880,13,2, 2018-07-09 08:37:50,-6954,335,-492,1450,-546,-423,-65.83,-25.19
2881,13,2, 2018-07-09 08:37:50,-6889,810,-230,348,-957,-309,-65.77,-25.09
2882,13,2, 2018-07-09 08:37:50,-7239,224,-1271,-577,-2398,-203,-65.54,-25.05
2883,13,2, 2018-07-09 08:37:50,-8192,615,-698,219,-2887,296,-65.36,-24.94
2884,13,2, 2018-07-09 08:37:50,-8192,486,-1446,-1178,-852,269,-65.31,-24.94
2885,13,2, 2018-07-09 08:37:50,-8192,733,-1676,-1156,278,-189,-65.37,-24.96
2886,13,2, 2018-07-09 08:37:50,-8192,1284,-1664,-261,121,-387,-65.43,-24.92
2887,13,2, 2018-07-09 08:37:50,-8192,1148,-2612,1377,254,-77,-65.53,-24.75
2888,13,2, 2018-07-09 08:37:50,-8192,2075,-2502,2989,-130,329,-65.57,-24.51
2889,13,2, 2018-07-09 08:37:50,-8192,2521,-2134,4073,-580,2181,-65.57,-24.2
2890,13,2, 2018-07-09 08:37:51,-8192,12,852,5227,-4903,-14,-65.4,-23.86
