No, id_percobaan, id_pasien, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch
517,3,2, 2018-07-09 08:35:43,-8192,1273,-1061,-2506,372,-841,-54.94,-29.68
518,3,2, 2018-07-09 08:35:43,-8192,2992,-155,-4074,-5205,2941,-54.77,-29.8
519,3,2, 2018-07-09 08:35:43,-8192,4092,-861,4691,-1783,6517,-54.67,-29.55
520,3,2, 2018-07-09 08:35:43,-8192,2542,2750,4740,1573,4382,-54.78,-29.14
521,3,2, 2018-07-09 08:35:43,-6672,-463,2488,191,3068,828,-54.97,-29
522,3,2, 2018-07-09 08:35:43,-6616,-2933,1755,-4197,1442,-3372,-55.08,-29.2
523,3,2, 2018-07-09 08:35:43,-7064,-1548,627,-2070,573,870,-55.13,-29.35
524,3,2, 2018-07-09 08:35:44,-8192,4258,-1106,1787,-2131,337,-55.17,-29.13
525,3,2, 2018-07-09 08:35:44,-8102,3723,-121,3303,-181,-1981,-55.21,-28.83
526,3,2, 2018-07-09 08:35:44,-5889,891,704,3544,587,-3972,-55.23,-28.38
527,3,2, 2018-07-09 08:35:44,-6147,-252,47,2866,-1369,-3160,-55.18,-28
528,3,2, 2018-07-09 08:35:44,-7344,458,-105,3823,-1593,-1863,-55.07,-27.72
529,3,2, 2018-07-09 08:35:44,-6673,899,-13,4127,-1024,-1545,-55.01,-27.41
530,3,2, 2018-07-09 08:35:44,-6411,356,-58,3529,-3494,-1468,-54.83,-27.12
531,3,2, 2018-07-09 08:35:44,-7047,151,-937,3729,-6015,-1336,-54.48,-26.84
532,3,2, 2018-07-09 08:35:44,-7959,-87,-375,2552,-4336,-637,-54.22,-26.61
533,3,2, 2018-07-09 08:35:44,-8088,-403,22,1196,-3369,240,-54.06,-26.47
534,3,2, 2018-07-09 08:35:44,-7973,-102,-780,-112,-2264,324,-53.95,-26.41
535,3,2, 2018-07-09 08:35:44,-8192,1283,-1003,1905,-1549,1168,-53.91,-26.21
536,3,2, 2018-07-09 08:35:44,-8192,1737,-1078,2256,-155,1309,-53.95,-25.99
537,3,2, 2018-07-09 08:35:44,-8192,-117,-1461,632,1104,994,-54.08,-25.88
538,3,2, 2018-07-09 08:35:44,-8192,-367,-1758,173,1641,1039,-54.34,-25.81
539,3,2, 2018-07-09 08:35:44,-8192,1164,-3288,1404,1233,1276,-54.48,-25.68
540,3,2, 2018-07-09 08:35:44,-8192,1643,-1636,2727,1707,1448,-54.66,-25.44
541,3,2, 2018-07-09 08:35:44,-8192,48,928,4302,-5426,-535,-54.49,-25.14
542,3,2, 2018-07-09 08:35:44,-8192,-807,2226,-446,1345,-2544,-54.54,-25.08
543,3,2, 2018-07-09 08:35:44,-6848,731,3645,-352,5456,-1518,-54.9,-25.05
544,3,2, 2018-07-09 08:35:44,-4684,1827,3161,1199,4413,-180,-55.16,-24.94
545,3,2, 2018-07-09 08:35:44,-6403,2429,2353,1927,-3131,681,-55.05,-24.72
