No, id_percobaan, id_pasien, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch
4452,12,2, 2018-07-09 06:17:33,-7286,4362,-295,-3677,-5024,-2524,-55.68,81.54
4453,12,2, 2018-07-09 06:17:33,-8192,1832,-2175,-2790,-643,-1003,-55.63,81.25
4454,12,2, 2018-07-09 06:17:33,-8192,125,-1953,-3316,2413,653,-55.83,80.91
4455,12,2, 2018-07-09 06:17:33,-8192,1387,-2358,-4504,1570,-368,-56.09,80.28
4456,12,2, 2018-07-09 06:17:33,-8192,4026,551,-4239,925,-166,-56.24,79.91
4457,12,2, 2018-07-09 06:17:33,-8192,7432,4467,-3647,-10437,5601,-55.85,79.61
4458,12,2, 2018-07-09 06:17:33,-8192,5678,1147,6646,-7523,6858,-55.31,79.8
4459,12,2, 2018-07-09 06:17:33,-8192,981,3848,11206,10414,-725,-56.05,80.64
4460,12,2, 2018-07-09 06:17:33,-7098,-2019,4921,4660,8325,-2365,-56.65,80.84
4461,12,2, 2018-07-09 06:17:33,-5260,-2654,2919,-2428,376,-3852,-56.75,80.57
4462,12,2, 2018-07-09 06:17:34,-5353,-697,394,-3810,923,3132,-56.75,79.95
4463,12,2, 2018-07-09 06:17:34,-6344,8192,1232,35,-971,-2091,-56.82,79.72
4464,12,2, 2018-07-09 06:17:34,-6972,5252,1916,2030,-1835,-4394,-56.77,79.76
4465,12,2, 2018-07-09 06:17:34,-8192,647,-333,4454,-1558,-2261,-56.7,79.86
4466,12,2, 2018-07-09 06:17:34,-7840,-482,-547,6384,4659,-2777,-56.96,80.07
4467,12,2, 2018-07-09 06:17:34,-6428,-1221,1029,5213,3902,-3119,-57.23,80.24
4468,12,2, 2018-07-09 06:17:34,-5234,445,634,2072,271,-1914,-57.25,80.24
4469,12,2, 2018-07-09 06:17:34,-5396,2183,-106,1753,-873,241,-57.17,80.21
4470,12,2, 2018-07-09 06:17:34,-5929,2666,-422,3581,-1187,1179,-57.05,80.29
4471,12,2, 2018-07-09 06:17:34,-6518,2178,-1208,4755,-1736,1118,-56.94,80.44
4472,12,2, 2018-07-09 06:17:34,-7741,1287,-1337,6338,-1580,1080,-56.86,80.67
4473,12,2, 2018-07-09 06:17:34,-8192,634,-439,7018,907,1213,-56.96,81.08
4474,12,2, 2018-07-09 06:17:34,-7063,-363,1226,5054,4877,1146,-57.35,81.38
4475,12,2, 2018-07-09 06:17:34,-7079,-1024,-137,-1227,-387,-731,-57.51,81.17
4476,12,2, 2018-07-09 06:17:34,-8192,963,-3890,-1083,-2896,-2464,-57.39,80.92
4477,12,2, 2018-07-09 06:17:34,-8192,2984,-2909,2578,2864,-2094,-57.56,80.92
4478,12,2, 2018-07-09 06:17:34,-8192,2480,4974,-484,-3154,-1374,-57.61,80.84
4479,12,2, 2018-07-09 06:17:34,-8192,1122,2520,-4958,-14341,-5342,-56.78,80.41
4480,12,2, 2018-07-09 06:17:34,-8192,945,-957,-2124,8838,-1844,-57.06,80.09
4481,12,2, 2018-07-09 06:17:34,-6424,752,4105,1007,8665,1875,-58.31,79.89
4482,12,2, 2018-07-09 06:17:34,-3944,3724,3104,3851,-1929,-897,-58.26,79.98
4483,12,2, 2018-07-09 06:17:34,-4669,3685,1127,4382,-811,-189,-57.98,80.21
4484,12,2, 2018-07-09 06:17:34,-6770,1085,1572,2132,1759,737,-58.06,80.24
4485,12,2, 2018-07-09 06:17:34,-8192,-1426,1855,-702,-1577,-1174,-58.07,80.06
4486,12,2, 2018-07-09 06:17:34,-8192,-1650,583,-2327,-2329,-1299,-57.96,79.76
4487,12,2, 2018-07-09 06:17:34,-7937,907,-93,-2684,5555,1147,-58.25,79.44
4488,12,2, 2018-07-09 06:17:34,-6048,3989,542,-3334,3511,4299,-58.71,78.99
4489,12,2, 2018-07-09 06:17:34,-6548,2938,-280,-2479,687,2343,-58.76,78.71
4490,12,2, 2018-07-09 06:17:34,-7107,1133,-501,-2014,1786,749,-58.85,78.45
4491,12,2, 2018-07-09 06:17:34,-6263,425,676,-2146,2042,1344,-59.05,78.04
4492,12,2, 2018-07-09 06:17:34,-5945,1113,78,-3365,-645,2073,-59.02,77.56
4493,12,2, 2018-07-09 06:17:34,-6179,1952,-799,-4619,-1580,1140,-58.91,77.16
4494,12,2, 2018-07-09 06:17:34,-6768,2145,-1315,-5059,-1608,-258,-58.8,76.73
4495,12,2, 2018-07-09 06:17:34,-7563,1515,-942,-4688,-853,-1103,-58.75,76.31
4496,12,2, 2018-07-09 06:17:34,-7873,757,533,-5183,-142,-1455,-58.76,75.87
4497,12,2, 2018-07-09 06:17:34,-7968,382,1300,-7433,190,-1549,-58.81,75.3
