No, id_percobaan, id_pasien, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch
1709,8,2, 2018-07-09 08:36:49,-4633,509,2549,5677,-2617,949,-74.93,-35.47
1710,8,2, 2018-07-09 08:36:49,-6429,59,3012,2044,-5572,124,-74.57,-35.22
1711,8,2, 2018-07-09 08:36:49,-8192,557,-120,-1741,-1400,284,-74.39,-35.22
1712,8,2, 2018-07-09 08:36:49,-8192,738,-566,-2867,11323,-52,-75.03,-35.3
1713,8,2, 2018-07-09 08:36:49,-7829,284,-775,-1605,3527,2468,-75.42,-35.43
1714,8,2, 2018-07-09 08:36:49,-6441,282,-573,-1164,4866,2504,-75.67,-35.43
1715,8,2, 2018-07-09 08:36:49,-5723,669,-412,-2385,2869,2587,-75.82,-35.47
1716,8,2, 2018-07-09 08:36:49,-6014,703,-275,-3658,-1183,2574,-75.73,-35.6
1717,8,2, 2018-07-09 08:36:49,-7353,797,-1225,-4685,-1433,1977,-75.6,-35.8
1718,8,2, 2018-07-09 08:36:49,-8192,1160,-1532,-3511,2006,756,-75.72,-35.94
1719,8,2, 2018-07-09 08:36:49,-7153,1249,-976,-3638,1402,216,-75.79,-36.07
1720,8,2, 2018-07-09 08:36:49,-6720,1064,-496,-5313,-2086,86,-75.67,-36.39
1721,8,2, 2018-07-09 08:36:49,-8184,1747,-1564,-5362,-2561,-124,-75.51,-36.62
1722,8,2, 2018-07-09 08:36:49,-8192,2615,-1998,-3692,-38,-499,-75.51,-36.76
1723,8,2, 2018-07-09 08:36:49,-8192,1681,-3113,-3809,675,-623,-75.59,-36.88
1724,8,2, 2018-07-09 08:36:49,-8192,589,-2282,-3729,1033,-867,-75.69,-37.02
1725,8,2, 2018-07-09 08:36:49,-8192,1945,-1923,-3873,259,-1375,-75.75,-37.17
1726,8,2, 2018-07-09 08:36:49,-8192,3972,-641,-4183,-3352,-287,-75.64,-37.29
1727,8,2, 2018-07-09 08:36:49,-8192,2267,-2079,-2004,-4762,1851,-75.35,-37.34
1728,8,2, 2018-07-09 08:36:49,-8192,1188,-136,2167,-1508,880,-75.26,-37.15
1729,8,2, 2018-07-09 08:36:49,-6455,1246,1101,781,875,-1640,-75.3,-36.87
1730,8,2, 2018-07-09 08:36:49,-4229,897,1791,-2940,-579,-1990,-75.2,-36.91
